trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time,duration,time_of_day
AK_20230810_b-direction-0.results_1,bullseye_high_freq,True,0.5,0,12:01,12:01,18,Noon
AK_20230810_b-direction-0.results_3,bullseye_low_separate,False,0.49,0,12:01,12:01,5,Noon
AK_20230810_b-direction-0.results_5,whites_separate,True,0.51,-2,12:01,12:01,10,Noon
AK_20230810_b-direction-0.results_7,bullseye_high_freq,False,0.5,1,12:02,12:02,11,Noon
AK_20230810_b-direction-0.results_9,strip,False,0.49,1,12:02,12:03,42,Noon
AK_20230810_b-direction-0.results_11,checkerboard_separate,True,0.51,0,12:03,12:03,12,Noon
AK_20230810_b-direction-0.results_13,bullseye_low_separate,True,0.49,0,12:03,12:03,10,Noon
AK_20230810_b-direction-0.results_15,sbc_separate,True,0.51,0,12:03,12:03,4,Noon
AK_20230810_b-direction-0.results_17,sbc,True,0.49,0,12:03,12:04,29,Noon
AK_20230810_b-direction-0.results_19,sbc,False,0.49,0,12:04,12:04,14,Noon
AK_20230810_b-direction-0.results_20,strip,True,0.49,2,12:04,12:04,4,Noon
AK_20230810_b-direction-0.results_21,sbc_separate,False,0.51,0,12:04,12:04,4,Noon
AK_20230810_b-direction-0.results_22,checkerboard,True,0.5,2,12:04,12:04,9,Noon
AK_20230810_b-direction-0.results_23,whites,False,0.5,-1,12:04,12:05,18,Noon
AK_20230810_b-direction-0.results_24,whites_separate,False,0.51,-1,12:05,12:05,9,Noon
AK_20230810_b-direction-0.results_25,checkerboard_separate,False,0.51,1,12:05,12:05,23,Noon
AK_20230810_b-direction-0.results_26,checkerboard,False,0.5,2,12:05,12:05,7,Noon
AK_20230810_b-direction-0.results_27,whites,True,0.5,-1,12:05,12:05,14,Noon
AK_20230810_b-direction-1.results_1,strip,False,0.5,0,12:06,12:06,21,Noon
AK_20230810_b-direction-1.results_3,whites,False,0.51,-1,12:06,12:06,7,Noon
AK_20230810_b-direction-1.results_5,bullseye_high_freq,True,0.51,0,12:06,12:06,13,Noon
AK_20230810_b-direction-1.results_7,checkerboard_separate,False,0.49,0,12:07,12:07,4,Noon
AK_20230810_b-direction-1.results_9,bullseye_low_separate,False,0.5,0,12:07,12:07,13,Noon
AK_20230810_b-direction-1.results_11,sbc_separate,True,0.49,0,12:07,12:07,11,Noon
AK_20230810_b-direction-1.results_13,checkerboard_separate,True,0.49,1,12:07,12:08,10,Noon
AK_20230810_b-direction-1.results_15,whites_separate,True,0.49,-1,12:08,12:09,84,Noon
AK_20230810_b-direction-1.results_17,sbc,True,0.5,0,12:09,12:09,3,Noon
AK_20230810_b-direction-1.results_19,checkerboard,True,0.51,0,12:09,12:10,24,Noon
AK_20230810_b-direction-1.results_20,strip,True,0.5,0,12:10,12:10,43,Noon
AK_20230810_b-direction-1.results_21,bullseye_low_separate,True,0.5,0,12:10,12:11,3,Noon
AK_20230810_b-direction-1.results_22,sbc_separate,False,0.49,0,12:11,12:11,4,Noon
AK_20230810_b-direction-1.results_23,whites_separate,False,0.49,-2,12:11,12:11,6,Noon
AK_20230810_b-direction-1.results_24,checkerboard,False,0.51,1,12:11,12:11,19,Noon
AK_20230810_b-direction-1.results_25,bullseye_high_freq,False,0.51,1,12:11,12:11,3,Noon
AK_20230810_b-direction-1.results_26,whites,True,0.51,0,12:11,12:11,5,Noon
AK_20230810_b-direction-1.results_27,sbc,False,0.5,0,12:11,12:11,18,Noon
AK_20230810_b-direction-2.results_1,bullseye_low_separate,True,0.51,0,12:12,12:12,5,Noon
AK_20230810_b-direction-2.results_3,checkerboard_separate,True,0.5,0,12:12,12:12,12,Noon
AK_20230810_b-direction-2.results_5,checkerboard_separate,False,0.5,1,12:12,12:13,55,Noon
AK_20230810_b-direction-2.results_7,strip,True,0.51,0,12:13,12:13,8,Noon
AK_20230810_b-direction-2.results_9,bullseye_high_freq,True,0.49,0,12:13,12:13,14,Noon
AK_20230810_b-direction-2.results_11,strip,False,0.51,0,12:14,12:14,4,Noon
AK_20230810_b-direction-2.results_13,bullseye_low_separate,False,0.51,0,12:14,12:15,65,Noon
AK_20230810_b-direction-2.results_15,sbc_separate,True,0.5,0,12:15,12:15,3,Noon
AK_20230810_b-direction-2.results_17,whites_separate,True,0.5,-2,12:15,12:15,12,Noon
AK_20230810_b-direction-2.results_19,sbc_separate,False,0.5,0,12:15,12:15,7,Noon
AK_20230810_b-direction-2.results_20,checkerboard,False,0.49,2,12:15,12:15,4,Noon
AK_20230810_b-direction-2.results_21,whites_separate,False,0.5,-2,12:15,12:16,5,Noon
AK_20230810_b-direction-2.results_22,sbc,True,0.51,0,12:16,12:16,3,Noon
AK_20230810_b-direction-2.results_23,checkerboard,True,0.49,2,12:16,12:16,5,Noon
AK_20230810_b-direction-2.results_24,bullseye_high_freq,False,0.49,0,12:16,12:16,10,Noon
AK_20230810_b-direction-2.results_25,sbc,False,0.51,-2,12:16,12:16,5,Noon
