trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time,duration,expected_catch_trial_response,tolerated_expected_catch_trial_response
AK_20230810_b-direction-0.results_0,catch_trial_black_2,False,0.0,-1,12:00,12:01,34,1,1
AK_20230810_b-direction-0.results_2,catch_trial_black_3,False,0.0,0,12:01,12:01,4,1,1
AK_20230810_b-direction-0.results_4,catch_trial_white_5,False,0.0,2,12:01,12:01,4,1,1
AK_20230810_b-direction-0.results_6,catch_trial_white_4,False,0.0,1,12:01,12:02,7,1,1
AK_20230810_b-direction-0.results_8,catch_trial_white_2,False,0.0,-2,12:02,12:02,4,0,1
AK_20230810_b-direction-0.results_10,catch_trial_black_1,False,0.0,-2,12:03,12:03,4,1,1
AK_20230810_b-direction-0.results_12,catch_trial_black_5,False,0.0,2,12:03,12:03,3,1,1
AK_20230810_b-direction-0.results_14,catch_trial_black_4,False,0.0,2,12:03,12:03,7,0,1
AK_20230810_b-direction-0.results_16,catch_trial_white_3,False,0.0,0,12:03,12:03,2,1,1
AK_20230810_b-direction-0.results_18,catch_trial_white_1,False,0.0,-2,12:04,12:04,3,1,1
AK_20230810_b-direction-1.results_0,catch_trial_black_5,False,0.0,2,12:06,12:06,8,1,1
AK_20230810_b-direction-1.results_2,catch_trial_white_3,False,0.0,0,12:06,12:06,4,1,1
AK_20230810_b-direction-1.results_4,catch_trial_white_1,False,0.0,-2,12:06,12:06,4,1,1
AK_20230810_b-direction-1.results_6,catch_trial_black_4,False,0.0,2,12:06,12:07,21,0,1
AK_20230810_b-direction-1.results_8,catch_trial_white_2,False,0.0,-2,12:07,12:07,4,0,1
AK_20230810_b-direction-1.results_10,catch_trial_white_5,False,0.0,2,12:07,12:07,3,1,1
AK_20230810_b-direction-1.results_12,catch_trial_black_1,False,0.0,-2,12:07,12:07,2,1,1
AK_20230810_b-direction-1.results_14,catch_trial_black_3,False,0.0,0,12:08,12:08,8,1,1
AK_20230810_b-direction-1.results_16,catch_trial_white_4,False,0.0,2,12:09,12:09,4,0,1
AK_20230810_b-direction-1.results_18,catch_trial_black_2,False,0.0,-2,12:09,12:09,6,0,1
AK_20230810_b-direction-2.results_0,catch_trial_black_5,False,0.0,2,12:11,12:12,4,1,1
AK_20230810_b-direction-2.results_2,catch_trial_white_3,False,0.0,0,12:12,12:12,5,1,1
AK_20230810_b-direction-2.results_4,catch_trial_white_5,False,0.0,2,12:12,12:12,7,1,1
AK_20230810_b-direction-2.results_6,catch_trial_black_1,False,0.0,-2,12:13,12:13,6,1,1
AK_20230810_b-direction-2.results_8,catch_trial_black_4,False,0.0,2,12:13,12:13,4,0,1
AK_20230810_b-direction-2.results_10,catch_trial_white_1,False,0.0,-2,12:13,12:14,2,1,1
AK_20230810_b-direction-2.results_12,catch_trial_white_4,False,0.0,2,12:14,12:14,7,0,1
AK_20230810_b-direction-2.results_14,catch_trial_black_3,False,0.0,0,12:15,12:15,7,1,1
AK_20230810_b-direction-2.results_16,catch_trial_white_2,False,0.0,-2,12:15,12:15,5,0,1
AK_20230810_b-direction-2.results_18,catch_trial_black_2,False,0.0,-2,12:15,12:15,4,0,1
