trial,stim,target_side,matching_flipped,presented_intensity,intensity_match,intensity_difference,start_time,stop_time,duration,time_of_day
AK_20230810_a-matching-0.results_0,catch_trial_black_3,Right,False,0.5,0.675,0.176,11:46,11:46,23,Late Morning
AK_20230810_a-matching-0.results_1,sbc_separate,Right,False,0.51,0.511,0.002,11:46,11:46,13,Late Morning
AK_20230810_a-matching-0.results_2,whites_separate,Right,False,0.51,0.502,-0.008,11:46,11:47,23,Late Morning
AK_20230810_a-matching-0.results_3,checkerboard_separate,Right,False,0.51,0.444,-0.066,11:47,11:47,11,Late Morning
AK_20230810_a-matching-0.results_4,checkerboard,Right,False,0.5,0.57,0.07,11:47,11:47,9,Late Morning
AK_20230810_a-matching-0.results_5,catch_trial_white_3,Left,False,0.5,0.409,-0.091,11:47,11:47,11,Late Morning
AK_20230810_a-matching-0.results_6,bullseye_high_freq,Left,False,0.5,0.45,-0.049,11:47,11:48,11,Late Morning
AK_20230810_a-matching-0.results_7,strip,Right,True,0.49,0.465,-0.024,11:48,11:48,17,Late Morning
AK_20230810_a-matching-0.results_8,whites,Right,True,0.5,0.458,-0.041,11:48,11:48,11,Late Morning
AK_20230810_a-matching-0.results_9,checkerboard,Left,True,0.5,0.431,-0.069,11:48,11:48,11,Late Morning
AK_20230810_a-matching-0.results_10,catch_trial_white_3,Right,False,0.5,0.462,-0.037,11:48,11:48,5,Late Morning
AK_20230810_a-matching-0.results_11,whites_separate,Left,True,0.51,0.502,-0.008,11:48,11:48,10,Late Morning
AK_20230810_a-matching-0.results_12,sbc_separate,Left,False,0.51,0.486,-0.024,11:48,11:49,9,Late Morning
AK_20230810_a-matching-0.results_13,whites,Left,True,0.5,0.452,-0.047,11:49,11:49,12,Late Morning
AK_20230810_a-matching-0.results_14,sbc,Right,False,0.49,0.428,-0.062,11:49,11:49,11,Late Morning
AK_20230810_a-matching-0.results_15,catch_trial_black_3,Left,False,0.5,0.563,0.063,11:49,11:49,11,Late Morning
AK_20230810_a-matching-0.results_16,checkerboard_separate,Left,False,0.51,0.488,-0.022,11:49,11:49,11,Late Morning
AK_20230810_a-matching-0.results_17,bullseye_high_freq,Right,True,0.5,0.499,-0.001,11:49,11:50,21,Late Morning
AK_20230810_a-matching-0.results_18,bullseye_low_separate,Left,False,0.49,0.512,0.023,11:50,11:50,12,Late Morning
AK_20230810_a-matching-0.results_19,sbc,Left,False,0.49,0.513,0.024,11:50,11:50,14,Late Morning
AK_20230810_a-matching-0.results_20,strip,Left,False,0.49,0.4,-0.089,11:50,11:50,11,Late Morning
AK_20230810_a-matching-0.results_21,bullseye_low_separate,Right,False,0.49,0.442,-0.047,11:50,11:51,19,Late Morning
AK_20230810_a-matching-2.results_0,catch_trial_white_3,Right,False,0.5,0.465,-0.034,11:56,11:56,17,Late Morning
AK_20230810_a-matching-2.results_1,whites_separate,Right,True,0.5,0.442,-0.057,11:56,11:56,10,Late Morning
AK_20230810_a-matching-2.results_2,bullseye_high_freq,Left,False,0.49,0.488,-0.002,11:56,11:56,7,Late Morning
AK_20230810_a-matching-2.results_3,bullseye_low_separate,Left,False,0.51,0.53,0.021,11:56,11:57,16,Late Morning
AK_20230810_a-matching-2.results_4,strip,Right,False,0.51,0.517,0.008,11:57,11:57,12,Late Morning
AK_20230810_a-matching-2.results_5,catch_trial_black_3,Right,False,0.5,0.555,0.056,11:57,11:57,16,Late Morning
AK_20230810_a-matching-2.results_6,checkerboard,Left,False,0.49,0.457,-0.032,11:57,11:57,13,Late Morning
AK_20230810_a-matching-2.results_7,bullseye_high_freq,Right,False,0.49,0.485,-0.005,11:57,11:58,18,Late Morning
AK_20230810_a-matching-2.results_8,whites_separate,Left,True,0.5,0.482,-0.018,11:58,11:58,13,Late Morning
AK_20230810_a-matching-2.results_9,whites,Left,False,0.49,0.501,0.012,11:58,11:58,12,Late Morning
AK_20230810_a-matching-2.results_10,catch_trial_white_3,Left,False,0.5,0.431,-0.069,11:58,11:58,10,Late Morning
AK_20230810_a-matching-2.results_11,bullseye_low_separate,Right,True,0.51,0.461,-0.048,11:58,11:58,11,Late Morning
AK_20230810_a-matching-2.results_12,checkerboard,Right,True,0.49,0.518,0.029,11:58,11:59,12,Late Morning
AK_20230810_a-matching-2.results_13,whites,Right,False,0.49,0.439,-0.05,11:59,11:59,13,Late Morning
AK_20230810_a-matching-2.results_14,sbc_separate,Right,True,0.5,0.453,-0.046,11:59,11:59,12,Late Morning
AK_20230810_a-matching-2.results_15,catch_trial_black_3,Left,False,0.5,0.55,0.051,11:59,11:59,14,Late Morning
AK_20230810_a-matching-2.results_16,strip,Left,True,0.51,0.493,-0.017,11:59,11:59,9,Late Morning
AK_20230810_a-matching-2.results_17,sbc,Left,False,0.51,0.567,0.057,11:59,12:00,11,Late Morning
