trial,stim,likert_flipped,presented_intensity
0,catch_trial_white_4,False,
1,bullseye_low_separate,True,0.49
2,catch_trial_black_5,False,
3,whites_separate,True,0.51
4,catch_trial_white_1,False,
5,bullseye_high_freq,True,0.5
6,catch_trial_black_2,False,
7,whites,True,0.5
8,catch_trial_white_2,False,
9,bullseye_low_separate,False,0.49
10,catch_trial_black_1,False,
11,checkerboard_separate,True,0.51
12,catch_trial_black_3,False,
13,sbc_separate,True,0.51
14,catch_trial_black_4,False,
15,bullseye_high_freq,False,0.5
16,catch_trial_white_3,False,
17,sbc,True,0.49
18,catch_trial_white_5,False,
19,whites,False,0.5
20,sbc_separate,False,0.51
21,strip,True,0.49
22,strip,False,0.49
23,sbc,False,0.49
24,checkerboard,False,0.5
25,checkerboard,True,0.5
26,checkerboard_separate,False,0.51
27,whites_separate,False,0.51
