trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_black_3,Right,0.5,False
1,strip,Left,0.51,True
2,bullseye_low_separate,Left,0.51,True
3,bullseye_high_freq,Left,0.49,False
4,checkerboard_separate,Right,0.5,True
5,catch_trial_white_3,Right,0.5,False
6,checkerboard,Right,0.49,False
7,checkerboard,Left,0.49,True
8,sbc,Left,0.51,True
9,whites,Left,0.49,False
10,catch_trial_white_3,Left,0.5,False
11,sbc_separate,Left,0.5,False
12,strip,Right,0.51,False
13,whites_separate,Right,0.5,True
14,bullseye_low_separate,Right,0.51,True
15,catch_trial_black_3,Left,0.5,False
16,checkerboard_separate,Left,0.5,True
17,whites,Right,0.49,True
18,sbc,Right,0.51,True
19,sbc_separate,Right,0.5,True
20,whites_separate,Left,0.5,True
21,bullseye_high_freq,Right,0.49,True
