trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_black_3,Right,0.5,False
1,whites,Left,0.5,False
2,checkerboard_separate,Right,0.51,True
3,whites_separate,Right,0.51,False
4,checkerboard,Left,0.5,False
5,catch_trial_black_3,Left,0.5,False
6,bullseye_low_separate,Left,0.49,False
7,sbc_separate,Left,0.51,True
8,whites,Right,0.5,False
9,sbc,Right,0.49,True
10,catch_trial_white_3,Right,0.5,False
11,bullseye_high_freq,Right,0.5,True
12,checkerboard,Right,0.5,True
13,whites_separate,Left,0.51,False
14,sbc,Left,0.49,True
15,catch_trial_white_3,Left,0.5,False
16,strip,Left,0.49,False
17,sbc_separate,Right,0.51,False
18,bullseye_high_freq,Left,0.5,True
19,bullseye_low_separate,Right,0.49,True
20,checkerboard_separate,Left,0.51,True
21,strip,Right,0.49,True
