trial,stim,likert_flipped,presented_intensity
0,catch_trial_black_1,False,
1,checkerboard_separate,True,0.5
2,catch_trial_black_5,False,
3,strip,True,0.51
4,catch_trial_white_4,False,
5,sbc_separate,True,0.5
6,catch_trial_black_3,False,
7,whites_separate,True,0.5
8,catch_trial_white_1,False,
9,checkerboard,False,0.49
10,catch_trial_white_5,False,
11,strip,False,0.51
12,catch_trial_white_2,False,
13,sbc_separate,False,0.5
14,catch_trial_black_4,False,
15,bullseye_high_freq,True,0.49
16,catch_trial_white_3,False,
17,bullseye_low_separate,False,0.51
18,catch_trial_black_2,False,
19,sbc,False,0.51
20,whites,False,0.49
21,whites,True,0.49
22,bullseye_low_separate,True,0.51
23,sbc,True,0.51
24,checkerboard_separate,False,0.5
25,checkerboard,True,0.49
26,bullseye_high_freq,False,0.49
27,whites_separate,False,0.5
