trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_black_3,Left,0.5,False
1,whites_separate,Left,0.5,True
2,checkerboard_separate,Right,0.5,True
3,bullseye_high_freq,Left,0.49,True
4,sbc,Right,0.51,True
5,catch_trial_white_3,Left,0.5,False
6,sbc_separate,Right,0.5,True
7,whites,Right,0.49,False
8,checkerboard,Right,0.49,True
9,strip,Left,0.51,True
10,catch_trial_black_3,Right,0.5,False
11,checkerboard_separate,Left,0.5,False
12,sbc_separate,Left,0.5,False
13,checkerboard,Left,0.49,True
14,bullseye_low_separate,Right,0.51,True
15,catch_trial_white_3,Right,0.5,False
16,sbc,Left,0.51,False
17,bullseye_high_freq,Right,0.49,False
18,bullseye_low_separate,Left,0.51,False
19,whites,Left,0.49,False
20,strip,Right,0.51,True
21,whites_separate,Right,0.5,False
