trial,stim,likert_flipped,presented_intensity
0,catch_trial_black_4,False,
1,strip,False,0.5
2,catch_trial_black_3,False,
3,bullseye_low_separate,False,0.5
4,catch_trial_white_5,False,
5,checkerboard,False,0.51
6,catch_trial_white_3,False,
7,sbc,True,0.5
8,catch_trial_white_2,False,
9,whites,False,0.51
10,catch_trial_white_4,False,
11,whites_separate,True,0.49
12,catch_trial_black_2,False,
13,sbc,False,0.5
14,catch_trial_black_1,False,
15,bullseye_high_freq,True,0.51
16,catch_trial_white_1,False,
17,checkerboard_separate,False,0.49
18,catch_trial_black_5,False,
19,sbc_separate,True,0.49
20,strip,True,0.5
21,sbc_separate,False,0.49
22,bullseye_low_separate,True,0.5
23,whites_separate,False,0.49
24,checkerboard_separate,True,0.49
25,whites,True,0.51
26,checkerboard,True,0.51
27,bullseye_high_freq,False,0.51
