trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_3_white_right,False,,
1,whites_separate,Right,0.5,False
2,bullseye_high_freq,Right,0.49,True
3,checkerboard,Right,0.49,True
4,strip,Left,0.51,True
5,catch_trial_3_black_right,False,,
6,sbc,Right,0.51,False
7,checkerboard_separate,Left,0.5,True
8,whites,Right,0.49,False
9,sbc_separate,Right,0.5,True
10,catch_trial_3_white_left,False,,
11,bullseye_low_separate,Right,0.51,True
12,whites_separate,Left,0.5,True
13,checkerboard_separate,Right,0.5,False
14,sbc_separate,Left,0.5,False
15,catch_trial_3_black_left,False,,
16,whites,Left,0.49,True
17,checkerboard,Left,0.49,True
18,sbc,Left,0.51,True
19,strip,Right,0.51,True
20,bullseye_high_freq,Left,0.49,False
21,bullseye_low_separate,Left,0.51,False
