trial,stim,likert_flipped,presented_intensity
0,catch_trial_3_black_both,False,
1,checkerboard_separate,True,0.5
2,catch_trial_5_white_both,False,
3,strip,False,0.51
4,catch_trial_1_white_both,False,
5,whites_separate,False,0.5
6,catch_trial_4_black_both,False,
7,checkerboard,False,0.49
8,catch_trial_3_white_both,False,
9,sbc,True,0.51
10,catch_trial_1_black_both,False,
11,sbc,False,0.51
12,catch_trial_4_white_both,False,
13,bullseye_high_freq,True,0.49
14,catch_trial_5_black_both,False,
15,whites,False,0.49
16,catch_trial_2_white_both,False,
17,strip,True,0.51
18,catch_trial_2_black_both,False,
19,bullseye_high_freq,False,0.49
20,whites,True,0.49
21,checkerboard,True,0.49
22,sbc_separate,False,0.5
23,bullseye_low_separate,False,0.51
24,checkerboard_separate,False,0.5
25,bullseye_low_separate,True,0.51
26,sbc_separate,True,0.5
27,whites_separate,True,0.5
