trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_3_white_right,False,,
1,whites_separate,Right,0.5,True
2,whites_separate,Left,0.5,True
3,whites,Left,0.49,False
4,strip,Left,0.51,False
5,catch_trial_3_black_left,False,,
6,bullseye_high_freq,Right,0.49,True
7,bullseye_high_freq,Left,0.49,False
8,sbc_separate,Right,0.5,True
9,checkerboard,Right,0.49,True
10,catch_trial_3_white_left,False,,
11,sbc,Left,0.51,False
12,sbc,Right,0.51,True
13,checkerboard_separate,Left,0.5,False
14,strip,Right,0.51,False
15,catch_trial_3_black_right,False,,
16,whites,Right,0.49,False
17,bullseye_low_separate,Left,0.51,False
18,sbc_separate,Left,0.5,False
19,checkerboard,Left,0.49,True
20,checkerboard_separate,Right,0.5,False
21,bullseye_low_separate,Right,0.51,False
