trial,stim,likert_flipped,presented_intensity
0,catch_trial_white_5,False,
1,sbc_separate,True,0.49
2,catch_trial_black_1,False,
3,bullseye_low_separate,False,0.5
4,catch_trial_black_5,False,
5,whites_separate,True,0.49
6,catch_trial_white_3,False,
7,sbc_separate,False,0.49
8,catch_trial_white_1,False,
9,bullseye_low_separate,True,0.5
10,catch_trial_black_4,False,
11,whites,True,0.51
12,catch_trial_white_2,False,
13,checkerboard,True,0.51
14,catch_trial_black_3,False,
15,whites_separate,False,0.49
16,catch_trial_white_4,False,
17,whites,False,0.51
18,catch_trial_black_2,False,
19,bullseye_high_freq,False,0.51
20,sbc,False,0.5
21,bullseye_high_freq,True,0.51
22,sbc,True,0.5
23,checkerboard_separate,True,0.49
24,strip,False,0.5
25,checkerboard_separate,False,0.49
26,checkerboard,False,0.51
27,strip,True,0.5
