trial,stim,likert_flipped,presented_intensity
0,catch_trial_black_4,False,
1,bullseye_high_freq,True,0.51
2,catch_trial_black_3,False,
3,strip,False,0.5
4,catch_trial_white_1,False,
5,whites_separate,False,0.49
6,catch_trial_white_3,False,
7,sbc,False,0.5
8,catch_trial_white_4,False,
9,whites,True,0.51
10,catch_trial_black_2,False,
11,sbc_separate,True,0.49
12,catch_trial_black_5,False,
13,sbc,True,0.5
14,catch_trial_black_1,False,
15,checkerboard_separate,False,0.49
16,catch_trial_white_5,False,
17,sbc_separate,False,0.49
18,catch_trial_white_2,False,
19,bullseye_low_separate,True,0.5
20,checkerboard,False,0.51
21,bullseye_low_separate,False,0.5
22,checkerboard,True,0.51
23,checkerboard_separate,True,0.49
24,bullseye_high_freq,False,0.51
25,whites_separate,True,0.49
26,strip,True,0.5
27,whites,False,0.51
