trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_black_3,Left,0.5,False
1,whites,Right,0.51,True
2,sbc_separate,Left,0.49,True
3,sbc,Right,0.5,True
4,bullseye_low_separate,Right,0.5,False
5,catch_trial_white_3,Right,0.5,False
6,whites,Left,0.51,True
7,strip,Left,0.5,True
8,sbc,Left,0.5,True
9,whites_separate,Right,0.49,True
10,catch_trial_white_3,Left,0.5,False
11,strip,Right,0.5,True
12,bullseye_high_freq,Left,0.51,True
13,checkerboard_separate,Left,0.49,False
14,checkerboard,Right,0.51,True
15,catch_trial_black_3,Right,0.5,False
16,whites_separate,Left,0.49,True
17,checkerboard_separate,Right,0.49,True
18,checkerboard,Left,0.51,False
19,sbc_separate,Right,0.49,True
20,bullseye_low_separate,Left,0.5,True
21,bullseye_high_freq,Right,0.51,False
