trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_3_black_left,False,,
1,checkerboard,Left,0.5,False
2,whites,Left,0.5,True
3,sbc_separate,Left,0.51,False
4,checkerboard_separate,Right,0.51,True
5,catch_trial_3_white_left,False,,
6,strip,Right,0.49,False
7,whites_separate,Left,0.51,False
8,checkerboard,Right,0.5,False
9,bullseye_high_freq,Left,0.5,True
10,catch_trial_3_white_right,False,,
11,sbc,Right,0.49,False
12,bullseye_low_separate,Right,0.49,True
13,sbc,Left,0.49,True
14,bullseye_low_separate,Left,0.49,True
15,catch_trial_3_black_right,False,,
16,checkerboard_separate,Left,0.51,False
17,whites_separate,Right,0.51,True
18,whites,Right,0.5,True
19,strip,Left,0.49,True
20,bullseye_high_freq,Right,0.5,True
21,sbc_separate,Right,0.51,False
