trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_white_3,Right,0.5,False
1,sbc_separate,Right,0.51,True
2,sbc_separate,Left,0.51,False
3,checkerboard_separate,Left,0.51,False
4,sbc,Left,0.49,True
5,catch_trial_black_3,Left,0.5,False
6,bullseye_high_freq,Right,0.5,True
7,whites_separate,Left,0.51,False
8,whites,Right,0.5,False
9,sbc,Right,0.49,False
10,catch_trial_black_3,Right,0.5,False
11,checkerboard_separate,Right,0.51,False
12,bullseye_low_separate,Left,0.49,True
13,whites_separate,Right,0.51,True
14,checkerboard,Right,0.5,True
15,catch_trial_white_3,Left,0.5,False
16,bullseye_high_freq,Left,0.5,True
17,checkerboard,Left,0.5,True
18,strip,Right,0.49,False
19,bullseye_low_separate,Right,0.49,False
20,whites,Left,0.5,True
21,strip,Left,0.49,True
