trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_white_3,Right,0.5,False
1,bullseye_high_freq,Left,0.51,False
2,sbc_separate,Right,0.49,True
3,bullseye_high_freq,Right,0.51,False
4,checkerboard,Right,0.51,False
5,catch_trial_white_3,Left,0.5,False
6,checkerboard_separate,Right,0.49,False
7,sbc_separate,Left,0.49,True
8,sbc,Right,0.5,False
9,whites_separate,Right,0.49,True
10,catch_trial_black_3,Left,0.5,False
11,sbc,Left,0.5,False
12,whites_separate,Left,0.49,False
13,bullseye_low_separate,Right,0.5,False
14,strip,Right,0.5,True
15,catch_trial_black_3,Right,0.5,False
16,whites,Left,0.51,False
17,bullseye_low_separate,Left,0.5,True
18,strip,Left,0.5,False
19,checkerboard_separate,Left,0.49,False
20,checkerboard,Left,0.51,True
21,whites,Right,0.51,True
