trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_black_3,Left,0.5,False,0,20230904:175110.224440,20230904:175117.035121
1,sbc_separate,Right,0.51,True,1,20230904:175117.036551,20230904:175126.432016
2,checkerboard_separate,Left,0.51,False,1,20230904:175126.433232,20230904:175137.423809
3,checkerboard_separate,Right,0.51,True,0.0,20230904:175137.425015,20230904:175144.768656
4,sbc,Right,0.49,False,0,20230904:175144.769841,20230904:175153.818946
5,catch_trial_white_3,Left,0.5,False,1,20230904:175153.820099,20230904:175157.536912
6,checkerboard,Left,0.5,False,1,20230904:175157.538084,20230904:175205.612342
7,checkerboard,Right,0.5,False,0,20230904:175205.613537,20230904:175210.644225
8,whites,Right,0.5,False,1,20230904:175210.671529,20230904:175217.065583
9,sbc_separate,Left,0.51,True,1,20230904:175217.066719,20230904:175228.113309
10,catch_trial_black_3,Right,0.5,False,0,20230904:175228.114494,20230904:175233.055066
11,bullseye_high_freq,Right,0.5,False,0,20230904:175233.056198,20230904:175240.405093
12,bullseye_low_separate,Right,0.49,False,0,20230904:175240.406256,20230904:175245.818865
13,strip,Left,0.49,False,0.9073706101254504,20230904:175245.870339,20230904:175248.651481
14,bullseye_low_separate,Left,0.49,False,1,20230904:175248.652801,20230904:175255.496324
15,catch_trial_white_3,Right,0.5,False,1,20230904:175255.497482,20230904:175300.103398
16,sbc,Left,0.49,False,1,20230904:175300.104526,20230904:175305.463895
17,whites_separate,Left,0.51,True,0,20230904:175305.465061,20230904:175311.317022
18,strip,Right,0.49,True,0,20230904:175311.318174,20230904:175316.321999
19,whites_separate,Right,0.51,False,1,20230904:175316.393781,20230904:175321.445806
20,whites,Left,0.5,True,0,20230904:175321.501908,20230904:175328.587688
21,bullseye_high_freq,Left,0.5,False,1,20230904:175328.589047,20230904:175335.987590
