trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_4,False,nan,3,20230904:180230.680510,20230904:180231.679279
1,whites_separate,False,0.5,2,20230904:180231.680586,20230904:180234.234722
2,catch_trial_white_1,False,nan,3,20230904:180234.235840,20230904:180234.919784
3,bullseye_high_freq,False,0.49,1,20230904:180234.920904,20230904:180237.352316
4,catch_trial_black_4,False,nan,3,20230904:180237.353430,20230904:180238.012150
5,sbc,False,0.51,1,20230904:180238.013288,20230904:180239.615737
6,catch_trial_black_5,False,nan,3,20230904:180239.665999,20230904:180240.842539
7,checkerboard_separate,False,0.5,2,20230904:180240.843636,20230904:180244.987628
8,catch_trial_black_3,False,nan,3,20230904:180245.032118,20230904:180247.564536
9,bullseye_high_freq,True,0.49,5,20230904:180247.565666,20230904:180251.688967
10,catch_trial_black_1,False,nan,3,20230904:180251.690107,20230904:180252.368473
11,sbc,True,0.51,5,20230904:180252.369602,20230904:180253.653751
12,catch_trial_white_3,False,nan,3,20230904:180253.654851,20230904:180254.836815
13,strip,True,0.51,5,20230904:180254.838022,20230904:180302.375442
14,catch_trial_white_5,False,nan,3,20230904:180302.376551,20230904:180303.037153
15,sbc_separate,True,0.5,1,20230904:180303.038268,20230904:180304.267321
16,catch_trial_white_2,False,nan,3,20230904:180304.268430,20230904:180305.057065
17,bullseye_low_separate,True,0.51,5,20230904:180305.058165,20230904:180307.434446
18,catch_trial_black_2,False,nan,3,20230904:180307.473158,20230904:180308.731456
19,bullseye_low_separate,False,0.51,1,20230904:180308.732560,20230904:180312.106769
20,whites_separate,True,0.5,4,20230904:180312.107881,20230904:180313.678675
21,sbc_separate,False,0.5,5,20230904:180313.679801,20230904:180317.561036
22,whites,False,0.49,5,20230904:180317.562163,20230904:180319.544246
23,whites,True,0.49,1,20230904:180319.545366,20230904:180321.087751
24,checkerboard_separate,True,0.5,3,20230904:180321.088938,20230904:180324.075995
25,checkerboard,False,0.49,1,20230904:180324.077141,20230904:180328.478327
26,strip,False,0.51,1,20230904:180328.479375,20230904:180332.947431
27,checkerboard,True,0.49,4,20230904:180332.948553,20230904:180335.952488
