trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_black_3,Right,0.5,False,0.014498756606515631,20230904:170145.144623,20230904:170211.483500
1,whites_separate,Left,0.49,False,0.058143937417941466,20230904:170211.484869,20230904:170235.886662
2,checkerboard,Right,0.51,True,0,20230904:170235.887790,20230904:170238.479528
3,strip,Left,0.5,False,0.19036337482202798,20230904:170238.480616,20230904:170246.788132
4,whites_separate,Right,0.49,True,0.15000000000000002,20230904:170246.789355,20230904:170255.351964
5,catch_trial_white_3,Left,0.5,False,0.8499999999999999,20230904:170255.353131,20230904:170309.375013
6,whites,Left,0.51,True,0.41636234856820686,20230904:170309.376167,20230904:170335.523251
7,sbc_separate,Left,0.49,True,0.2916995214144162,20230904:170335.524384,20230904:170346.314413
8,sbc,Left,0.5,True,0.054931591323349016,20230904:170346.315725,20230904:170349.069346
9,checkerboard,Left,0.51,False,0.18694834849427638,20230904:170349.070469,20230904:170356.590479
10,catch_trial_black_3,Left,0.5,False,0.09051354049626258,20230904:170356.591590,20230904:170404.549518
11,bullseye_high_freq,Left,0.51,True,0.1766065776362416,20230904:170404.550553,20230904:170418.243136
12,whites,Right,0.51,False,0.11569439011787717,20230904:170418.244250,20230904:170428.309160
13,sbc,Right,0.5,False,0.08130191914122119,20230904:170428.310274,20230904:170432.063645
14,bullseye_high_freq,Right,0.51,False,0.4999999999999996,20230904:170432.064768,20230904:170439.350760
15,catch_trial_white_3,Right,0.5,False,0.7028916523052117,20230904:170439.351875,20230904:170443.433898
16,checkerboard_separate,Left,0.49,True,0.1338937792846624,20230904:170443.435003,20230904:170500.570421
17,bullseye_low_separate,Right,0.5,False,0.3789754461834108,20230904:170500.571803,20230904:170504.490906
18,checkerboard_separate,Right,0.49,True,0.3783221933310084,20230904:170504.492022,20230904:170511.285933
19,sbc_separate,Right,0.49,False,0.25389858711712215,20230904:170511.286751,20230904:170520.642877
20,strip,Right,0.5,True,0.2819879025342032,20230904:170520.643981,20230904:170541.326335
21,bullseye_low_separate,Left,0.5,False,0.11436335283951825,20230904:170541.327466,20230904:170547.890202
