trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_3,False,nan,3,20230904:171241.109021,20230904:171242.184165
1,sbc_separate,True,0.49,3,20230904:171242.185678,20230904:171243.074908
2,catch_trial_white_2,False,nan,2,20230904:171243.076038,20230904:171245.340899
3,whites,True,0.51,3,20230904:171245.342021,20230904:171249.151779
4,catch_trial_black_2,False,nan,3,20230904:171249.153194,20230904:171250.359044
5,whites,False,0.51,3,20230904:171250.421034,20230904:171251.649050
6,catch_trial_white_3,False,nan,2,20230904:171251.650150,20230904:171253.702876
7,whites_separate,True,0.49,3,20230904:171253.703972,20230904:171256.633876
8,catch_trial_black_1,False,nan,3,20230904:171256.634999,20230904:171257.816188
9,bullseye_high_freq,False,0.51,3,20230904:171257.817323,20230904:171300.534510
10,catch_trial_black_5,False,nan,3,20230904:171300.535627,20230904:171301.299346
11,bullseye_high_freq,True,0.51,3,20230904:171301.300375,20230904:171301.909866
12,catch_trial_black_4,False,nan,3,20230904:171301.945335,20230904:171302.478293
13,checkerboard,False,0.51,3,20230904:171302.479387,20230904:171303.169056
14,catch_trial_white_4,False,nan,4,20230904:171303.170163,20230904:171304.473324
15,bullseye_low_separate,True,0.5,3,20230904:171304.474431,20230904:171306.876947
16,catch_trial_white_1,False,nan,2,20230904:171306.878067,20230904:171308.358840
17,checkerboard,True,0.51,2,20230904:171308.359953,20230904:171311.232745
18,catch_trial_white_5,False,nan,4,20230904:171311.233177,20230904:171313.042644
19,sbc,True,0.5,3,20230904:171313.043744,20230904:171315.679832
20,sbc_separate,False,0.49,4,20230904:171315.681495,20230904:171316.940726
21,strip,False,0.5,3,20230904:171316.941818,20230904:171319.450107
22,bullseye_low_separate,False,0.5,4,20230904:171319.451244,20230904:171321.583710
23,strip,True,0.5,3,20230904:171321.584865,20230904:171324.647908
24,sbc,False,0.5,2,20230904:171324.649063,20230904:171325.692566
25,checkerboard_separate,True,0.49,3,20230904:171325.693698,20230904:171327.587527
26,checkerboard_separate,False,0.49,3,20230904:171327.588640,20230904:171328.465924
27,whites_separate,False,0.49,3,20230904:171328.467073,20230904:171329.283631
