trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_black_3,Left,0.5,False,0.5603620291802442,20230810:115115.310937,20230810:115123.230310
1,whites_separate,Right,0.49,False,0.44647657557493353,20230810:115123.231175,20230810:115136.897730
2,bullseye_high_freq,Right,0.51,False,0.4930065475174997,20230810:115136.898864,20230810:115153.982719
3,bullseye_low_separate,Left,0.5,True,0.45999999999999963,20230810:115153.983861,20230810:115208.461791
4,checkerboard,Left,0.51,True,0.4634013547114075,20230810:115208.462942,20230810:115222.921241
5,catch_trial_white_3,Right,0.5,False,0.45190085775768796,20230810:115222.922537,20230810:115235.163849
6,whites,Right,0.51,False,0.47000000000000003,20230810:115235.165014,20230810:115259.125704
7,strip,Right,0.5,False,0.4782721738418119,20230810:115259.126838,20230810:115305.940692
8,whites,Left,0.51,False,0.5022930780840009,20230810:115305.941839,20230810:115318.680740
9,checkerboard_separate,Right,0.49,True,0.41546891632693467,20230810:115318.681898,20230810:115329.702587
10,catch_trial_white_3,Left,0.5,False,0.448790148746973,20230810:115329.703760,20230810:115344.915339
11,sbc_separate,Left,0.49,False,0.4872276330852685,20230810:115344.916495,20230810:115358.155113
12,sbc,Right,0.5,False,0.5480585382998653,20230810:115358.156259,20230810:115406.745411
13,checkerboard,Right,0.51,True,0.4917326848990238,20230810:115406.746547,20230810:115418.518128
14,bullseye_high_freq,Left,0.51,False,0.4503336897147166,20230810:115418.519275,20230810:115427.442290
15,catch_trial_black_3,Right,0.5,False,0.5454799706669435,20230810:115427.443425,20230810:115445.200152
16,checkerboard_separate,Left,0.49,True,0.430687537433295,20230810:115445.201314,20230810:115500.909832
17,whites_separate,Left,0.49,False,0.46379686524641484,20230810:115500.911010,20230810:115513.774094
18,sbc,Left,0.5,True,0.44649029661707373,20230810:115513.775235,20230810:115529.342965
19,bullseye_low_separate,Right,0.5,False,0.457469203686686,20230810:115529.344122,20230810:115535.248372
20,strip,Left,0.5,False,0.46467582540237945,20230810:115535.249535,20230810:115552.134175
21,sbc_separate,Right,0.49,True,0.4406096244876867,20230810:115552.135350,20230810:115616.082578
