trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_5,False,nan,5,20230810:120600.587968,20230810:120608.252577
1,strip,False,0.5,3,20230810:120608.253849,20230810:120629.354123
2,catch_trial_white_3,False,nan,3,20230810:120629.355225,20230810:120633.506495
3,whites,False,0.51,2,20230810:120633.507569,20230810:120640.130064
4,catch_trial_white_1,False,nan,1,20230810:120640.131169,20230810:120644.725348
5,bullseye_high_freq,True,0.51,3,20230810:120644.726422,20230810:120657.397339
6,catch_trial_black_4,False,nan,5,20230810:120657.398440,20230810:120718.495216
7,checkerboard_separate,False,0.49,3,20230810:120718.496355,20230810:120722.734279
8,catch_trial_white_2,False,nan,1,20230810:120722.735372,20230810:120726.716103
9,bullseye_low_separate,False,0.5,3,20230810:120726.717189,20230810:120739.889314
10,catch_trial_white_5,False,nan,5,20230810:120739.890417,20230810:120742.191545
11,sbc_separate,True,0.49,3,20230810:120742.192638,20230810:120753.159241
12,catch_trial_black_1,False,nan,1,20230810:120753.160540,20230810:120755.121626
13,checkerboard_separate,True,0.49,2,20230810:120755.122702,20230810:120805.029092
14,catch_trial_black_3,False,nan,3,20230810:120805.030384,20230810:120813.134838
15,whites_separate,True,0.49,4,20230810:120813.135957,20230810:120937.005987
16,catch_trial_white_4,False,nan,5,20230810:120937.007105,20230810:120941.840048
17,sbc,True,0.5,3,20230810:120941.841310,20230810:120944.329163
18,catch_trial_black_2,False,nan,1,20230810:120944.330327,20230810:120950.283123
19,checkerboard,True,0.51,3,20230810:120950.284292,20230810:121014.464853
20,strip,True,0.5,3,20230810:121014.465962,20230810:121057.970247
21,bullseye_low_separate,True,0.5,3,20230810:121057.971369,20230810:121100.822779
22,sbc_separate,False,0.49,3,20230810:121100.823824,20230810:121104.568337
23,whites_separate,False,0.49,1,20230810:121104.569456,20230810:121110.251804
24,checkerboard,False,0.51,4,20230810:121110.252960,20230810:121129.675497
25,bullseye_high_freq,False,0.51,4,20230810:121129.676667,20230810:121132.924227
26,whites,True,0.51,3,20230810:121132.925332,20230810:121137.707524
27,sbc,False,0.5,3,20230810:121137.708668,20230810:121155.400173
