trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_black_3,Left,0.5,False,0.6128468941455739,20230811:162227.403304,20230811:162319.704569
1,checkerboard,Right,0.49,True,0.4951264443446294,20230811:162319.705884,20230811:162358.803714
2,strip,Right,0.51,False,0.543353687197246,20230811:162358.804870,20230811:162413.500151
3,bullseye_low_separate,Right,0.51,True,0.37970746358164287,20230811:162413.501305,20230811:162431.986443
4,checkerboard_separate,Right,0.5,False,0.4637196311203564,20230811:162431.987578,20230811:162441.587031
5,catch_trial_white_3,Left,0.5,False,0.4205867082525264,20230811:162441.588387,20230811:162455.190600
6,whites_separate,Right,0.5,False,0.5095696980739814,20230811:162455.191759,20230811:162502.591384
7,whites,Left,0.49,False,0.4226000278083204,20230811:162502.592535,20230811:162516.659501
8,bullseye_high_freq,Right,0.49,False,0.4134193773973488,20230811:162516.660644,20230811:162529.067577
9,whites_separate,Left,0.5,False,0.36491650735112435,20230811:162529.068888,20230811:162546.332651
10,catch_trial_white_3,Right,0.5,False,0.3910080700652551,20230811:162546.333770,20230811:162553.537673
11,strip,Left,0.51,False,0.5302882686417062,20230811:162553.538821,20230811:162602.566032
12,checkerboard_separate,Left,0.5,False,0.46423184977997917,20230811:162602.567146,20230811:162610.116414
13,sbc_separate,Left,0.5,False,0.5499999999999996,20230811:162610.117571,20230811:162620.889564
14,bullseye_high_freq,Left,0.49,True,0.41473941861686453,20230811:162620.890865,20230811:162644.593456
15,catch_trial_black_3,Right,0.5,False,0.541392150536123,20230811:162644.594727,20230811:162651.070532
16,checkerboard,Left,0.49,False,0.35259215356037515,20230811:162651.071675,20230811:162707.111160
17,sbc_separate,Right,0.5,False,0.540882907966146,20230811:162707.112356,20230811:162711.687405
18,whites,Right,0.49,False,0.4965287716214373,20230811:162711.688621,20230811:162719.410114
19,sbc,Right,0.51,False,0.6,20230811:162719.411259,20230811:162739.213530
20,sbc,Left,0.51,False,0.4838237787750456,20230811:162739.214671,20230811:162744.923417
21,bullseye_low_separate,Left,0.51,True,0.4650965377410679,20230811:162744.990118,20230811:162756.695562
