trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_1,False,nan,1,20230811:163605.996731,20230811:163608.929417
1,checkerboard_separate,True,0.5,2,20230811:163608.930752,20230811:163614.024104
2,catch_trial_black_5,False,nan,5,20230811:163614.057343,20230811:163616.757972
3,strip,True,0.51,4,20230811:163616.759051,20230811:163619.265230
4,catch_trial_white_4,False,nan,5,20230811:163619.298582,20230811:163622.940423
5,sbc_separate,True,0.5,4,20230811:163622.941521,20230811:163627.409619
6,catch_trial_black_3,False,nan,3,20230811:163627.410300,20230811:163632.313178
7,whites_separate,True,0.5,4,20230811:163632.314540,20230811:163638.858530
8,catch_trial_white_1,False,nan,5,20230811:163638.859958,20230811:163641.822966
9,checkerboard,False,0.49,5,20230811:163641.824190,20230811:163649.353408
10,catch_trial_white_5,False,nan,5,20230811:163649.354987,20230811:163651.799219
11,strip,False,0.51,3,20230811:163651.800336,20230811:163705.911722
12,catch_trial_white_2,False,nan,1,20230811:163705.913012,20230811:163713.026292
13,sbc_separate,False,0.5,4,20230811:163713.027402,20230811:163718.071469
14,catch_trial_black_4,False,nan,4,20230811:163718.137555,20230811:163724.540544
15,bullseye_high_freq,True,0.49,2,20230811:163724.541796,20230811:163726.855815
16,catch_trial_white_3,False,nan,3,20230811:163726.856924,20230811:163730.038101
17,bullseye_low_separate,False,0.51,4,20230811:163730.039236,20230811:163735.996857
18,catch_trial_black_2,False,nan,2,20230811:163735.998272,20230811:163739.601342
19,sbc,False,0.51,4,20230811:163739.602656,20230811:163752.847090
20,whites,False,0.49,3,20230811:163752.848227,20230811:163806.452274
21,whites,True,0.49,3,20230811:163806.453361,20230811:163809.601604
22,bullseye_low_separate,True,0.51,2,20230811:163809.602740,20230811:163811.662004
23,sbc,True,0.51,2,20230811:163811.718157,20230811:163815.471384
24,checkerboard_separate,False,0.5,4,20230811:163815.472514,20230811:163820.406252
25,checkerboard,True,0.49,2,20230811:163820.407370,20230811:163822.478240
26,bullseye_high_freq,False,0.49,4,20230811:163822.479484,20230811:163826.150434
27,whites_separate,False,0.5,2,20230811:163826.151605,20230811:163828.505887
