trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_1,False,nan,2,20230904:182222.736205,20230904:182229.568995
1,whites_separate,False,0.51,2,20230904:182229.570705,20230904:182234.762888
2,catch_trial_white_5,False,nan,4,20230904:182234.763749,20230904:182236.835678
3,whites_separate,True,0.51,4,20230904:182236.836847,20230904:182238.652475
4,catch_trial_white_2,False,nan,2,20230904:182238.653659,20230904:182244.791618
5,sbc,True,0.49,2,20230904:182244.792814,20230904:182255.235195
6,catch_trial_black_5,False,nan,4,20230904:182255.236359,20230904:182258.515884
7,checkerboard_separate,True,0.51,3,20230904:182258.517067,20230904:182303.948573
8,catch_trial_white_4,False,nan,4,20230904:182303.949755,20230904:182307.071862
9,whites,True,0.5,4,20230904:182307.072997,20230904:182313.393413
10,catch_trial_black_2,False,nan,2,20230904:182313.394560,20230904:182320.056389
11,checkerboard_separate,False,0.51,4,20230904:182320.057540,20230904:182323.272941
12,catch_trial_black_3,False,nan,3,20230904:182323.273372,20230904:182327.012322
13,strip,True,0.49,2,20230904:182327.013487,20230904:182332.849469
14,catch_trial_white_1,False,nan,2,20230904:182332.850583,20230904:182336.698888
15,sbc_separate,False,0.51,2,20230904:182336.700039,20230904:182409.051360
16,catch_trial_black_4,False,nan,4,20230904:182409.052480,20230904:182411.136247
17,checkerboard,True,0.5,2,20230904:182411.137369,20230904:182413.930257
18,catch_trial_white_3,False,nan,3,20230904:182413.931372,20230904:182419.760582
19,bullseye_high_freq,False,0.5,4,20230904:182419.761726,20230904:182422.055153
20,checkerboard,False,0.5,4,20230904:182422.056572,20230904:182424.148930
21,bullseye_low_separate,False,0.49,4,20230904:182424.150058,20230904:182426.589414
22,whites,False,0.5,2,20230904:182426.590539,20230904:182439.551286
23,strip,False,0.49,4,20230904:182439.552407,20230904:182441.531978
24,sbc,False,0.49,2,20230904:182441.533138,20230904:182446.528634
25,bullseye_low_separate,True,0.49,2,20230904:182446.529774,20230904:182453.589549
26,bullseye_high_freq,True,0.5,2,20230904:182453.590682,20230904:182456.892845
27,sbc_separate,True,0.51,2,20230904:182456.893983,20230904:182500.603474
