trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_black_3,Left,0.5,False,0.5490761999831887,20230904:183653.749306,20230904:183701.184847
1,whites,Left,0.49,False,0.509263067978237,20230904:183701.186299,20230904:183708.901931
2,sbc_separate,Left,0.5,True,0.4918842599744178,20230904:183708.903013,20230904:183714.237658
3,whites_separate,Left,0.5,True,0.5267013845954072,20230904:183714.238786,20230904:183721.664168
4,strip,Left,0.51,True,0.4890113032720023,20230904:183721.665296,20230904:183743.633732
5,catch_trial_white_3,Right,0.5,False,0.41832092897627404,20230904:183743.635096,20230904:183747.844809
6,checkerboard_separate,Right,0.5,True,0.44815075526682274,20230904:183747.845904,20230904:183751.812949
7,whites,Right,0.49,True,0.5082639233110642,20230904:183751.814067,20230904:183756.955461
8,bullseye_low_separate,Right,0.51,False,0.4163317831080007,20230904:183756.996059,20230904:183804.682079
9,bullseye_high_freq,Right,0.49,True,0.406169075702281,20230904:183804.683185,20230904:183813.547576
10,catch_trial_black_3,Right,0.5,False,0.4728121934728617,20230904:183813.548592,20230904:183827.540568
11,bullseye_low_separate,Left,0.51,False,0.5156338498282288,20230904:183827.541707,20230904:183833.518071
12,sbc,Right,0.51,True,0.5402162796385012,20230904:183833.519189,20230904:183837.489965
13,checkerboard_separate,Left,0.5,False,0.4916801584180472,20230904:183837.491071,20230904:183840.335004
14,sbc_separate,Right,0.5,False,0.42552620226087245,20230904:183840.336106,20230904:183849.093681
15,catch_trial_white_3,Left,0.5,False,0.4582052960032483,20230904:183849.095129,20230904:183900.008067
16,checkerboard,Left,0.49,False,0.44999999999999996,20230904:183900.009215,20230904:183911.620458
17,whites_separate,Right,0.5,True,0.4844558099730856,20230904:183911.621593,20230904:183920.135425
18,checkerboard,Right,0.49,False,0.4774341420764852,20230904:183920.136528,20230904:183931.059379
19,sbc,Left,0.51,False,0.39950905929299296,20230904:183931.060497,20230904:183940.449077
20,bullseye_high_freq,Left,0.49,True,0.48664625678588375,20230904:183940.450357,20230904:183951.541488
21,strip,Right,0.51,False,0.48890382224682066,20230904:183951.542607,20230904:183959.827808
