trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_5,False,nan,5,20230811:164908.551914,20230811:164910.060652
1,strip,True,0.51,1,20230811:164910.061972,20230811:164911.627444
2,catch_trial_black_5,False,nan,5,20230811:164911.628569,20230811:164913.553523
3,checkerboard_separate,True,0.5,3,20230811:164913.554824,20230811:164919.682508
4,catch_trial_black_2,False,nan,2,20230811:164919.683648,20230811:164923.178566
5,checkerboard,True,0.49,3,20230811:164923.179643,20230811:164928.834106
6,catch_trial_black_3,False,nan,3,20230811:164928.835222,20230811:164931.294919
7,whites,True,0.49,4,20230811:164931.296291,20230811:164942.136996
8,catch_trial_black_4,False,nan,4,20230811:164942.138122,20230811:164946.901389
9,checkerboard_separate,False,0.5,3,20230811:164946.901763,20230811:164949.576082
10,catch_trial_white_4,False,nan,4,20230811:164949.577197,20230811:165006.075817
11,checkerboard,False,0.49,4,20230811:165006.077000,20230811:165015.430166
12,catch_trial_white_2,False,nan,1,20230811:165015.431317,20230811:165017.927660
13,bullseye_low_separate,True,0.51,3,20230811:165017.928782,20230811:165029.886854
14,catch_trial_black_1,False,nan,2,20230811:165029.888144,20230811:165035.458423
15,sbc,True,0.51,3,20230811:165035.495668,20230811:165038.474787
16,catch_trial_white_1,False,nan,2,20230811:165038.475922,20230811:165043.681598
17,bullseye_low_separate,False,0.51,3,20230811:165043.682727,20230811:165046.432582
18,catch_trial_white_3,False,nan,3,20230811:165046.433689,20230811:165049.566510
19,whites,False,0.49,1,20230811:165049.567633,20230811:165052.285013
20,bullseye_high_freq,False,0.49,3,20230811:165052.286121,20230811:165057.995866
21,bullseye_high_freq,True,0.49,3,20230811:165057.997013,20230811:165100.270435
22,whites_separate,True,0.5,5,20230811:165100.319480,20230811:165102.610419
23,whites_separate,False,0.5,1,20230811:165102.611570,20230811:165104.221284
24,sbc,False,0.51,3,20230811:165104.222394,20230811:165105.944712
25,strip,False,0.51,5,20230811:165105.945834,20230811:165110.104919
26,sbc_separate,True,0.5,3,20230811:165110.106066,20230811:165112.759823
27,sbc_separate,False,0.5,3,20230811:165112.760973,20230811:165114.370407
