trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_black_3,Right,0.5,False,0.6499999999999997,20230811:165115.259367,20230811:165136.238067
1,strip,Right,0.49,False,0.6335068612510965,20230811:165136.239406,20230811:165148.606732
2,whites_separate,Right,0.51,True,0.60634287401771,20230811:165148.607871,20230811:165156.694050
3,whites,Right,0.5,True,0.49999999999999994,20230811:165156.695190,20230811:165208.294166
4,strip,Left,0.49,False,0.38180494383020835,20230811:165208.295283,20230811:165219.260905
5,catch_trial_white_3,Right,0.5,False,0.5188160334144749,20230811:165219.262207,20230811:165226.294502
6,sbc_separate,Left,0.51,True,0.4502775729995207,20230811:165226.295632,20230811:165237.815545
7,bullseye_low_separate,Right,0.49,False,0.6499999999999997,20230811:165237.816688,20230811:165249.631430
8,checkerboard_separate,Left,0.51,True,0.44999999999999996,20230811:165249.632904,20230811:165305.821829
9,whites,Left,0.5,True,0.665251239478848,20230811:165305.822965,20230811:165340.407184
10,catch_trial_black_3,Left,0.5,False,0.6537066370211008,20230811:165340.408515,20230811:165350.338746
11,bullseye_high_freq,Right,0.5,False,0.6963391253961285,20230811:165350.339928,20230811:165406.164522
12,whites_separate,Left,0.51,False,0.7342316458303567,20230811:165406.165689,20230811:165414.958204
13,checkerboard,Right,0.5,True,0.6038198901067141,20230811:165414.959523,20230811:165427.389672
14,bullseye_high_freq,Left,0.5,False,0.5999999999999996,20230811:165427.390815,20230811:165442.674217
15,catch_trial_white_3,Left,0.5,False,0.49999999999999994,20230811:165442.675358,20230811:165503.231114
16,sbc,Left,0.49,False,0.4999999999999996,20230811:165503.232316,20230811:165512.087049
17,bullseye_low_separate,Left,0.49,False,0.5145052520110835,20230811:165512.088440,20230811:165520.642232
18,checkerboard,Left,0.5,True,0.4729994612858898,20230811:165520.643365,20230811:165527.039045
19,checkerboard_separate,Right,0.51,False,0.42927913892271174,20230811:165527.040207,20230811:165532.856820
20,sbc,Right,0.49,False,0.5499999999999996,20230811:165532.889156,20230811:165543.246899
21,sbc_separate,Right,0.51,False,0.5937927291408099,20230811:165543.248094,20230811:165551.604418
