trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_white_3,Left,0.5,False,0.350463019506009,20230817:184944.555889,20230817:185004.842899
1,checkerboard_separate,Right,0.51,False,0.41918595520403,20230817:185004.844338,20230817:185010.284987
2,sbc_separate,Right,0.51,True,0.3124564334649469,20230817:185010.337209,20230817:185015.634667
3,bullseye_high_freq,Right,0.5,False,0.39863175625940206,20230817:185015.686936,20230817:185037.469864
4,bullseye_low_separate,Right,0.49,True,0.3750272238065814,20230817:185037.471051,20230817:185102.658261
5,catch_trial_black_3,Right,0.5,False,0.5214068202625681,20230817:185102.659496,20230817:185114.557779
6,strip,Right,0.49,False,0.4880522526705141,20230817:185114.558977,20230817:185128.442214
7,checkerboard,Left,0.5,False,0.4325400826875552,20230817:185128.443567,20230817:185147.048519
8,strip,Left,0.49,True,0.4871847166513732,20230817:185147.049697,20230817:185203.737268
9,whites_separate,Left,0.51,True,0.4824407579855087,20230817:185203.738446,20230817:185241.610180
10,catch_trial_white_3,Right,0.5,False,0.4029770792042948,20230817:185241.611537,20230817:185254.069686
11,bullseye_high_freq,Left,0.5,True,0.41245168394470444,20230817:185254.070862,20230817:185303.927657
12,sbc_separate,Left,0.51,True,0.5575482228521274,20230817:185303.928817,20230817:185310.143230
13,sbc,Right,0.49,False,0.5269154559133067,20230817:185310.144391,20230817:185332.784424
14,sbc,Left,0.49,True,0.3862564102350785,20230817:185332.785716,20230817:185358.621946
15,catch_trial_black_3,Left,0.5,False,0.5684500140532158,20230817:185358.623307,20230817:185409.949316
16,checkerboard_separate,Left,0.51,False,0.4624949440524013,20230817:185409.950486,20230817:185433.558290
17,bullseye_low_separate,Left,0.49,False,0.3801771929983063,20230817:185433.559466,20230817:185450.321007
18,whites,Left,0.5,False,0.38112341137550154,20230817:185450.373646,20230817:185507.096019
19,checkerboard,Right,0.5,False,0.4703125934075357,20230817:185507.097189,20230817:185537.231166
20,whites_separate,Right,0.51,True,0.45855166830651817,20230817:185537.232342,20230817:185550.779694
21,whites,Right,0.5,True,0.469327372046019,20230817:185550.780873,20230817:185602.146764
