trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_3,False,nan,3,20230817:191416.050804,20230817:191417.227097
1,bullseye_high_freq,True,0.49,3,20230817:191417.228433,20230817:191418.876645
2,catch_trial_white_5,False,nan,4,20230817:191418.905623,20230817:191421.094093
3,bullseye_low_separate,True,0.51,3,20230817:191421.095204,20230817:191422.647767
4,catch_trial_black_4,False,nan,3,20230817:191422.648858,20230817:191423.461149
5,checkerboard_separate,True,0.5,3,20230817:191423.462296,20230817:191424.732213
6,catch_trial_white_1,False,nan,2,20230817:191424.763549,20230817:191426.173654
7,sbc_separate,False,0.5,3,20230817:191426.174874,20230817:191427.343394
8,catch_trial_black_5,False,nan,4,20230817:191427.344532,20230817:191429.762720
9,bullseye_low_separate,False,0.51,3,20230817:191429.763900,20230817:191430.863574
10,catch_trial_white_4,False,nan,3,20230817:191430.864681,20230817:191432.799499
11,sbc_separate,True,0.5,3,20230817:191432.800626,20230817:191433.606846
12,catch_trial_black_1,False,nan,2,20230817:191433.607968,20230817:191436.904349
13,checkerboard_separate,False,0.5,3,20230817:191436.904741,20230817:191438.326878
14,catch_trial_white_2,False,nan,2,20230817:191438.327994,20230817:191442.853920
15,strip,False,0.51,3,20230817:191442.887862,20230817:191448.660704
16,catch_trial_black_2,False,nan,3,20230817:191448.695660,20230817:191449.746720
17,bullseye_high_freq,False,0.49,3,20230817:191449.747846,20230817:191451.161455
18,catch_trial_white_3,False,nan,3,20230817:191451.162915,20230817:191452.343573
19,whites,False,0.49,3,20230817:191452.344686,20230817:191453.276927
20,whites_separate,True,0.5,4,20230817:191453.278062,20230817:191457.835551
21,checkerboard,False,0.49,3,20230817:191457.836661,20230817:191459.941023
22,whites,True,0.49,3,20230817:191459.942126,20230817:191500.955183
23,sbc,False,0.51,3,20230817:191500.956321,20230817:191502.548448
24,strip,True,0.51,3,20230817:191502.549546,20230817:191505.232825
25,checkerboard,True,0.49,2,20230817:191505.233936,20230817:191507.291991
26,whites_separate,False,0.5,2,20230817:191507.293096,20230817:191510.803067
27,sbc,True,0.51,3,20230817:191510.869500,20230817:191512.338277
