trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_2,False,nan,1,20230904:193645.043689,20230904:193655.081370
1,checkerboard_separate,True,0.51,2,20230904:193655.082754,20230904:193717.895886
2,catch_trial_white_5,False,nan,5,20230904:193717.897073,20230904:193721.504092
3,sbc_separate,True,0.51,3,20230904:193721.505259,20230904:193724.884265
4,catch_trial_black_2,False,nan,3,20230904:193724.885448,20230904:193741.035570
5,whites,False,0.5,3,20230904:193741.036758,20230904:193743.221702
6,catch_trial_white_3,False,nan,3,20230904:193743.222841,20230904:193746.242370
7,checkerboard_separate,False,0.51,3,20230904:193746.288344,20230904:193751.225076
8,catch_trial_black_4,False,nan,3,20230904:193751.226247,20230904:193753.682430
9,strip,False,0.49,4,20230904:193753.683523,20230904:193807.498558
10,catch_trial_black_3,False,nan,3,20230904:193807.499679,20230904:193810.082979
11,whites,True,0.5,4,20230904:193810.084095,20230904:193812.548111
12,catch_trial_black_5,False,nan,3,20230904:193812.594426,20230904:193814.662729
13,bullseye_low_separate,True,0.49,3,20230904:193814.663819,20230904:193817.326915
14,catch_trial_white_4,False,nan,3,20230904:193817.328017,20230904:193821.528939
15,sbc_separate,False,0.51,3,20230904:193821.530036,20230904:193822.822335
16,catch_trial_black_1,False,nan,3,20230904:193822.823446,20230904:193825.042872
17,sbc,False,0.49,3,20230904:193825.043950,20230904:193832.098889
18,catch_trial_white_1,False,nan,1,20230904:193832.100016,20230904:193835.709212
19,bullseye_high_freq,True,0.5,2,20230904:193835.710507,20230904:193839.210217
20,sbc,True,0.49,3,20230904:193839.211322,20230904:193843.405055
21,bullseye_low_separate,False,0.49,5,20230904:193843.406157,20230904:193848.830929
22,checkerboard,False,0.5,5,20230904:193848.832047,20230904:193853.320670
23,bullseye_high_freq,False,0.5,4,20230904:193853.321843,20230904:193900.403767
24,whites_separate,True,0.51,3,20230904:193900.404949,20230904:193903.839097
25,strip,True,0.49,1,20230904:193903.840193,20230904:193908.467844
26,checkerboard,True,0.5,5,20230904:193908.469001,20230904:193913.083258
27,whites_separate,False,0.51,2,20230904:193913.084385,20230904:193916.108177
