trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_black_3,Left,0.5,False,0.634764988736046,20230904:194710.855275,20230904:194719.419215
1,sbc_separate,Left,0.49,True,0.5345156611017929,20230904:194719.420589,20230904:194726.356492
2,sbc,Left,0.5,False,0.34999999999999964,20230904:194726.357641,20230904:194737.168919
3,bullseye_high_freq,Right,0.51,False,0.4354743545676223,20230904:194737.170255,20230904:194741.095534
4,whites_separate,Left,0.49,False,0.5599166817910296,20230904:194741.096652,20230904:194748.800713
5,catch_trial_white_3,Left,0.5,False,0.4195139346850142,20230904:194748.801841,20230904:194754.939046
6,whites_separate,Right,0.49,True,0.4499999999999996,20230904:194754.940183,20230904:194801.830486
7,bullseye_low_separate,Left,0.5,True,0.47987587409693394,20230904:194801.831622,20230904:194808.455931
8,checkerboard_separate,Right,0.49,True,0.4077093557946352,20230904:194808.457368,20230904:194809.939662
9,checkerboard,Left,0.51,True,0.4999999999999996,20230904:194809.940856,20230904:194823.423838
10,catch_trial_black_3,Right,0.5,False,0.828105882291472,20230904:194823.424766,20230904:194824.792053
11,sbc_separate,Right,0.49,True,0.39999999999999997,20230904:194824.793205,20230904:194836.523167
12,checkerboard,Right,0.51,True,0.4499999999999996,20230904:194836.524317,20230904:194854.430913
13,strip,Left,0.5,True,0.4844311485667769,20230904:194854.432076,20230904:194902.968554
14,whites,Left,0.51,True,0.4522635924806089,20230904:194902.969689,20230904:194904.801762
15,catch_trial_white_3,Right,0.5,False,0.32187377134078327,20230904:194904.802875,20230904:194909.704219
16,bullseye_low_separate,Right,0.5,True,0.41517677391011265,20230904:194909.705405,20230904:194924.335101
17,whites,Right,0.51,True,0.7260962800320617,20230904:194924.336403,20230904:194925.782549
18,sbc,Right,0.5,True,0.48999999999999994,20230904:194925.783761,20230904:194940.291585
19,bullseye_high_freq,Left,0.51,False,0.4736513742190764,20230904:194940.292757,20230904:194949.605980
20,checkerboard_separate,Left,0.49,False,0.421427732402486,20230904:194949.607150,20230904:195015.862458
21,strip,Right,0.5,False,0.4497105321478181,20230904:195015.863599,20230904:195023.555892
