trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_3_black_both,False,nan,4,20230808:150039.902275,20230808:150042.759269
1,checkerboard_separate,True,0.5,1,20230808:150042.760653,20230808:150044.756403
2,catch_trial_5_white_both,False,nan,5,20230808:150044.809468,20230808:150046.088159
3,strip,False,0.51,5,20230808:150046.089298,20230808:150047.277355
4,catch_trial_1_white_both,False,nan,1,20230808:150047.278491,20230808:150048.667670
5,whites_separate,False,0.5,2,20230808:150048.668813,20230808:150051.711251
6,catch_trial_4_black_both,False,nan,4,20230808:150051.712439,20230808:150054.254250
7,checkerboard,False,0.49,5,20230808:150054.255424,20230808:150056.618055
8,catch_trial_3_white_both,False,nan,3,20230808:150056.619162,20230808:150100.067747
9,sbc,True,0.51,2,20230808:150100.068852,20230808:150101.675343
10,catch_trial_1_black_both,False,nan,1,20230808:150101.676452,20230808:150102.930775
11,sbc,False,0.51,5,20230808:150102.931915,20230808:150104.709596
12,catch_trial_4_white_both,False,nan,4,20230808:150104.710852,20230808:150106.669101
13,bullseye_high_freq,True,0.49,1,20230808:150106.670446,20230808:150109.178924
14,catch_trial_5_black_both,False,nan,5,20230808:150109.180232,20230808:150113.766310
15,whites,False,0.49,2,20230808:150113.767434,20230808:150115.542476
16,catch_trial_2_white_both,False,nan,2,20230808:150115.543595,20230808:150117.671583
17,strip,True,0.51,1,20230808:150117.672714,20230808:150118.783450
18,catch_trial_2_black_both,False,nan,1,20230808:150118.832722,20230808:150120.297394
19,bullseye_high_freq,False,0.49,5,20230808:150120.298519,20230808:150122.736324
20,whites,True,0.49,2,20230808:150122.737425,20230808:150124.357526
21,checkerboard,True,0.49,1,20230808:150124.390895,20230808:150126.198982
22,sbc_separate,False,0.5,2,20230808:150126.200121,20230808:150128.775797
23,bullseye_low_separate,False,0.51,5,20230808:150128.777237,20230808:150130.063482
24,checkerboard_separate,False,0.5,5,20230808:150130.064770,20230808:150132.093980
25,bullseye_low_separate,True,0.51,1,20230808:150132.095379,20230808:150135.164735
26,sbc_separate,True,0.5,4,20230808:150135.257131,20230808:150137.382270
27,whites_separate,True,0.5,2,20230808:150137.383377,20230808:150143.189789
