trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_black_3,Right,0.5,False,0.5627694534916337,20230810:122502.532291,20230810:122512.190644
1,checkerboard_separate,Left,0.49,False,0.4257396750354947,20230810:122512.191987,20230810:122524.235327
2,sbc_separate,Right,0.49,False,0.42964534598304494,20230810:122524.236486,20230810:122539.459982
3,checkerboard,Left,0.51,True,0.45779435645597716,20230810:122617.121619,20230810:122646.719009
4,checkerboard,Right,0.51,False,0.46253945415127706,20230810:122646.720405,20230810:122700.986216
5,catch_trial_white_3,Right,0.5,False,0.3938643602694549,20230810:122700.987392,20230810:122723.219479
6,strip,Right,0.5,True,0.4286661448369028,20230810:122723.220678,20230810:122747.049928
7,sbc_separate,Left,0.49,False,0.581567046772479,20230810:122747.051292,20230810:122755.040466
8,whites_separate,Left,0.49,True,0.47004019630479377,20230810:122755.041629,20230810:122807.205925
9,bullseye_high_freq,Right,0.51,True,0.42310280130310185,20230810:122807.207093,20230810:122822.708742
10,catch_trial_white_3,Left,0.5,False,0.36952200530207135,20230810:122822.709948,20230810:122843.638743
11,whites,Left,0.51,False,0.502492865892492,20230810:122843.639944,20230810:122857.722343
12,bullseye_low_separate,Right,0.5,False,0.46211366991430447,20230810:122857.723526,20230810:122912.429047
13,whites_separate,Right,0.49,False,0.3820810829645882,20230810:122912.430214,20230810:122923.125803
14,whites,Right,0.51,False,0.4770392711735006,20230810:122923.126985,20230810:122942.298513
15,catch_trial_black_3,Left,0.5,False,0.5883181616703953,20230810:122942.299675,20230810:123002.657830
16,sbc,Left,0.5,False,0.3647436124140055,20230810:123002.659052,20230810:123030.445994
17,sbc,Right,0.5,True,0.5571644565584825,20230810:123030.447169,20230810:123042.604226
18,checkerboard_separate,Right,0.49,False,0.41999999999999965,20230810:123042.605376,20230810:123127.351114
19,bullseye_low_separate,Left,0.5,True,0.4885949948544455,20230810:123127.352287,20230810:123137.643652
20,strip,Left,0.5,True,0.47556210669054716,20230810:123137.644821,20230810:123206.572486
21,bullseye_high_freq,Left,0.51,False,0.4939667908280646,20230810:123206.573631,20230810:123216.365560
