trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_5,False,nan,5,20230810:124537.508860,20230810:124539.954726
1,bullseye_high_freq,False,0.49,2,20230810:124539.956258,20230810:124547.480923
2,catch_trial_black_1,False,nan,1,20230810:124547.482070,20230810:124549.474106
3,sbc,False,0.51,5,20230810:124549.475184,20230810:124555.107804
4,catch_trial_white_3,False,nan,3,20230810:124555.109086,20230810:124557.470466
5,checkerboard_separate,False,0.5,1,20230810:124557.471547,20230810:124603.776897
6,catch_trial_black_3,False,nan,3,20230810:124603.778013,20230810:124607.881987
7,whites_separate,False,0.5,1,20230810:124607.882817,20230810:124616.383135
8,catch_trial_white_1,False,nan,1,20230810:124616.384490,20230810:124618.376257
9,strip,True,0.51,3,20230810:124618.377489,20230810:124626.353057
10,catch_trial_white_5,False,nan,5,20230810:124626.354154,20230810:124629.026740
11,whites,False,0.49,2,20230810:124629.027976,20230810:124637.342336
12,catch_trial_black_4,False,nan,5,20230810:124637.343463,20230810:124639.342355
13,checkerboard,False,0.49,3,20230810:124639.343441,20230810:124703.754822
14,catch_trial_black_2,False,nan,2,20230810:124703.755995,20230810:124706.717415
15,bullseye_low_separate,True,0.51,3,20230810:124706.718766,20230810:124730.743387
16,catch_trial_white_4,False,nan,4,20230810:124730.744514,20230810:124733.638945
17,strip,False,0.51,4,20230810:124733.640351,20230810:124741.890199
18,catch_trial_white_2,False,nan,2,20230810:124741.891323,20230810:124744.180359
19,sbc,True,0.51,1,20230810:124744.181446,20230810:124749.351742
20,whites,True,0.49,4,20230810:124749.352572,20230810:124808.762384
21,sbc_separate,False,0.5,3,20230810:124808.763670,20230810:124821.886745
22,checkerboard_separate,True,0.5,5,20230810:124821.887847,20230810:124828.398877
23,bullseye_high_freq,True,0.49,3,20230810:124828.399961,20230810:124855.212625
24,sbc_separate,True,0.5,5,20230810:124855.213756,20230810:124907.773438
25,whites_separate,True,0.5,3,20230810:124907.774575,20230810:124919.457888
26,bullseye_low_separate,False,0.51,2,20230810:124919.458584,20230810:124933.384155
27,checkerboard,True,0.49,2,20230810:124933.385561,20230810:124942.055751
