trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_black_3,Right,0.5,False,0.5227190805158551,20230811:154540.468341,20230811:154544.927269
1,whites_separate,Left,0.5,True,0.49973941864542953,20230811:154544.928630,20230811:154549.282050
2,checkerboard,Left,0.49,True,0.4726110802222196,20230811:154549.283188,20230811:154559.998371
3,bullseye_low_separate,Right,0.51,False,0.39999999999999997,20230811:154559.999492,20230811:154610.063529
4,strip,Right,0.51,False,0.5290961020201108,20230811:154610.064689,20230811:154618.845309
5,catch_trial_white_3,Left,0.5,False,0.39070153027344706,20230811:154618.846469,20230811:154623.820745
6,sbc_separate,Right,0.5,True,0.5500563327362394,20230811:154623.891629,20230811:154632.324903
7,checkerboard_separate,Right,0.5,False,0.4437411216604677,20230811:154632.326047,20230811:154640.231145
8,sbc,Right,0.51,False,0.48937221129023734,20230811:154640.232322,20230811:154647.356546
9,checkerboard_separate,Left,0.5,False,0.4711483916282299,20230811:154647.357689,20230811:154656.556113
10,catch_trial_white_3,Right,0.5,False,0.5492854452517516,20230811:154656.557258,20230811:154659.972511
11,whites,Right,0.49,True,0.5113908646404296,20230811:154659.973658,20230811:154705.791973
12,bullseye_low_separate,Left,0.51,False,0.4605510160911315,20230811:154705.793111,20230811:154714.201065
13,checkerboard,Right,0.49,True,0.4999999999999996,20230811:154714.202192,20230811:154727.001894
14,sbc,Left,0.51,False,0.4596999087698896,20230811:154727.003049,20230811:154733.492218
15,catch_trial_black_3,Left,0.5,False,0.5887589598913572,20230811:154733.493353,20230811:154758.122501
16,bullseye_high_freq,Right,0.49,True,0.4860046845723102,20230811:154758.123634,20230811:154807.700725
17,sbc_separate,Left,0.5,True,0.6365342247151894,20230811:154807.701609,20230811:154814.723072
18,whites_separate,Right,0.5,True,0.4831413972793806,20230811:154814.724230,20230811:154826.760516
19,whites,Left,0.49,True,0.5502572203853344,20230811:154826.761669,20230811:154837.024278
20,strip,Left,0.51,False,0.532401939081353,20230811:154837.025416,20230811:154846.028335
21,bullseye_high_freq,Left,0.49,False,0.5232997270718228,20230811:154846.029472,20230811:154853.917749
