trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_5,False,nan,4,20230811:155316.449562,20230811:155323.084756
1,strip,False,0.5,3,20230811:155323.086058,20230811:155336.460879
2,catch_trial_white_2,False,nan,2,20230811:155336.462152,20230811:155343.018569
3,bullseye_high_freq,False,0.51,3,20230811:155343.019513,20230811:155351.153542
4,catch_trial_black_2,False,nan,1,20230811:155351.154659,20230811:155357.058759
5,whites,False,0.51,2,20230811:155357.059931,20230811:155409.966899
6,catch_trial_black_4,False,nan,4,20230811:155409.968027,20230811:155416.038267
7,bullseye_low_separate,True,0.5,3,20230811:155416.039376,20230811:155420.812358
8,catch_trial_black_3,False,nan,3,20230811:155420.813464,20230811:155425.801294
9,bullseye_high_freq,True,0.51,3,20230811:155425.802420,20230811:155447.505405
10,catch_trial_white_1,False,nan,2,20230811:155447.506668,20230811:155452.882866
11,sbc_separate,False,0.49,3,20230811:155452.933251,20230811:155504.706230
12,catch_trial_black_1,False,nan,2,20230811:155504.707349,20230811:155514.195189
13,checkerboard_separate,True,0.49,3,20230811:155514.196507,20230811:155544.139872
14,catch_trial_white_4,False,nan,4,20230811:155544.140992,20230811:155550.543536
15,sbc,True,0.5,2,20230811:155550.544704,20230811:155558.544031
16,catch_trial_white_3,False,nan,3,20230811:155558.545156,20230811:155607.493365
17,sbc_separate,True,0.49,3,20230811:155607.494498,20230811:155616.057822
18,catch_trial_white_5,False,nan,5,20230811:155616.058944,20230811:155620.939342
19,sbc,False,0.5,4,20230811:155620.940468,20230811:155630.606897
20,checkerboard_separate,False,0.49,4,20230811:155630.608095,20230811:155642.979595
21,bullseye_low_separate,False,0.5,3,20230811:155642.980721,20230811:155648.633286
22,checkerboard,False,0.51,4,20230811:155648.677764,20230811:155653.786846
23,whites_separate,True,0.49,4,20230811:155653.843797,20230811:155701.227018
24,checkerboard,True,0.51,2,20230811:155701.228164,20230811:155710.217585
25,whites_separate,False,0.49,2,20230811:155710.218847,20230811:155714.446776
26,strip,True,0.5,2,20230811:155714.447916,20230811:155735.700696
27,whites,True,0.51,4,20230811:155735.701823,20230811:155739.926633
