trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_3_black_left,False,nan,nan,0.32447927880488264,20230808:140505.771695,20230808:140531.781884
1,sbc_separate,Right,0.51,True,0.43181076986526923,20230808:140531.783274,20230808:140552.431532
2,strip,Left,0.49,False,0.5530377147351595,20230808:140552.432884,20230808:140645.077303
3,sbc,Left,0.49,False,0.4456195008312604,20230808:140645.078499,20230808:140710.026850
4,checkerboard_separate,Left,0.51,True,0.5382147292098229,20230808:140710.028065,20230808:140721.214232
5,catch_trial_3_black_right,False,nan,nan,0.40999999999999964,20230808:140721.215004,20230808:140744.186593
6,checkerboard_separate,Right,0.51,True,0.4897756965187585,20230808:140744.187963,20230808:140802.634261
7,whites_separate,Left,0.51,True,0.5756978354827861,20230808:140802.635456,20230808:140818.053739
8,bullseye_high_freq,Right,0.5,True,0.46355948684978077,20230808:140818.054933,20230808:140832.189156
9,whites,Right,0.5,False,0.46856265362928995,20230808:140832.190461,20230808:140843.178695
10,catch_trial_3_white_right,False,nan,nan,0.17012674181227422,20230808:140843.179863,20230808:140856.777130
11,whites_separate,Right,0.51,False,0.45999999999999985,20230808:140856.778289,20230808:140914.294345
12,whites,Left,0.5,True,0.5012306285064011,20230808:140914.295516,20230808:140933.266224
13,strip,Right,0.49,True,0.512711006459121,20230808:140933.267387,20230808:140942.824746
14,sbc,Right,0.49,False,0.5498556519275771,20230808:140942.825916,20230808:140956.575222
15,catch_trial_3_white_left,False,nan,nan,0.24039015661635899,20230808:140956.576405,20230808:141011.507119
16,checkerboard,Right,0.5,False,0.5199999999999997,20230808:141011.508425,20230808:141028.489372
17,bullseye_low_separate,Right,0.49,False,0.42473125510641047,20230808:141028.490528,20230808:141101.453282
18,bullseye_low_separate,Left,0.49,False,0.464751147996618,20230808:141101.454609,20230808:141115.126693
19,sbc_separate,Left,0.51,True,0.5472335573120731,20230808:141115.127843,20230808:141128.781117
20,bullseye_high_freq,Left,0.5,True,0.4671934235488524,20230808:141128.782259,20230808:141146.501109
21,checkerboard,Left,0.5,False,0.5234205809529128,20230808:141146.502167,20230808:141215.313217
