trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_3_black_both,False,nan,3,20230808:142527.821387,20230808:142532.521820
1,checkerboard,False,0.5,4,20230808:142532.523214,20230808:142539.323631
2,catch_trial_3_white_both,False,nan,3,20230808:142539.324865,20230808:142546.905269
3,sbc_separate,False,0.51,1,20230808:142546.906434,20230808:142549.662241
4,catch_trial_2_white_both,False,nan,2,20230808:142549.663370,20230808:142551.534399
5,whites_separate,True,0.51,5,20230808:142551.535503,20230808:142556.367523
6,catch_trial_4_black_both,False,nan,5,20230808:142556.368685,20230808:142607.031000
7,whites,True,0.5,5,20230808:142607.032130,20230808:142611.740361
8,catch_trial_5_black_both,False,nan,5,20230808:142611.741486,20230808:142613.214239
9,checkerboard_separate,True,0.51,2,20230808:142613.215413,20230808:142619.733664
10,catch_trial_4_white_both,False,nan,4,20230808:142619.734794,20230808:142621.837201
11,bullseye_high_freq,False,0.5,5,20230808:142621.838314,20230808:142624.508948
12,catch_trial_2_black_both,False,nan,2,20230808:142624.510216,20230808:142626.668590
13,sbc_separate,True,0.51,5,20230808:142626.669703,20230808:142628.683915
14,catch_trial_1_black_both,False,nan,1,20230808:142628.685034,20230808:142629.765689
15,whites_separate,False,0.51,2,20230808:142629.766817,20230808:142633.778932
16,catch_trial_1_white_both,False,nan,1,20230808:142633.780059,20230808:142635.275534
17,checkerboard,True,0.5,2,20230808:142635.276654,20230808:142638.692923
18,catch_trial_5_white_both,False,nan,5,20230808:142638.694066,20230808:142640.170168
19,sbc,True,0.49,1,20230808:142640.171283,20230808:142642.010528
20,bullseye_low_separate,False,0.49,5,20230808:142642.011657,20230808:142649.270232
21,strip,False,0.49,5,20230808:142649.271376,20230808:142653.658911
22,whites,False,0.5,2,20230808:142653.660065,20230808:142700.133343
23,strip,True,0.49,1,20230808:142700.134468,20230808:142704.051963
24,bullseye_high_freq,True,0.5,2,20230808:142704.053070,20230808:142708.226647
25,bullseye_low_separate,True,0.49,1,20230808:142708.227810,20230808:142711.002546
26,sbc,False,0.49,4,20230808:142711.003652,20230808:142713.847696
27,checkerboard_separate,False,0.51,2,20230808:142713.923746,20230808:142719.415757
