trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_5,False,nan,5,20230810:112016.120084,20230810:112020.845781
1,checkerboard,False,0.51,4,20230810:112020.847124,20230810:112023.562781
2,catch_trial_white_2,False,nan,1,20230810:112023.563873,20230810:112025.838638
3,strip,False,0.5,4,20230810:112025.839750,20230810:112029.418060
4,catch_trial_white_3,False,nan,1,20230810:112029.419163,20230810:112031.513779
5,checkerboard_separate,False,0.49,5,20230810:112031.514888,20230810:112037.402689
6,catch_trial_white_5,False,nan,5,20230810:112037.403799,20230810:112039.743256
7,strip,True,0.5,2,20230810:112039.744390,20230810:112043.528483
8,catch_trial_black_2,False,nan,1,20230810:112043.529581,20230810:112047.792361
9,sbc_separate,False,0.49,3,20230810:112047.793444,20230810:112051.809774
10,catch_trial_white_4,False,nan,5,20230810:112051.810873,20230810:112056.066094
11,whites_separate,False,0.49,3,20230810:112056.067190,20230810:112104.868528
12,catch_trial_black_4,False,nan,5,20230810:112104.869652,20230810:112108.851176
13,whites,False,0.51,3,20230810:112108.852296,20230810:112111.292758
14,catch_trial_white_1,False,nan,1,20230810:112111.293858,20230810:112113.031571
15,sbc,False,0.5,3,20230810:112113.032694,20230810:112119.784776
16,catch_trial_black_3,False,nan,1,20230810:112119.785623,20230810:112121.671911
17,bullseye_high_freq,True,0.51,3,20230810:112121.673078,20230810:112126.195899
18,catch_trial_black_1,False,nan,1,20230810:112126.197210,20230810:112128.756710
19,checkerboard_separate,True,0.49,2,20230810:112128.757891,20230810:112131.826075
20,bullseye_low_separate,True,0.5,3,20230810:112131.876659,20230810:112136.287121
21,bullseye_high_freq,False,0.51,4,20230810:112136.288687,20230810:112138.922042
22,checkerboard,True,0.51,2,20230810:112138.923208,20230810:112142.346003
23,sbc_separate,True,0.49,3,20230810:112142.347106,20230810:112146.118886
24,whites_separate,True,0.49,3,20230810:112146.120045,20230810:112148.035576
25,whites,True,0.51,3,20230810:112148.036894,20230810:112149.678111
26,sbc,True,0.5,3,20230810:112149.679228,20230810:112154.164820
27,bullseye_low_separate,False,0.5,3,20230810:112154.165956,20230810:112157.429786
