trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_white_3,Right,0.5,False,0.584897045048007,20230810:113121.327254,20230810:113129.523311
1,checkerboard_separate,Right,0.49,False,0.6300409971443581,20230810:113129.524711,20230810:113138.618904
2,sbc_separate,Right,0.49,False,0.6638067672760393,20230810:113138.620086,20230810:113157.279661
3,strip,Left,0.5,False,0.490012691366598,20230810:113157.280813,20230810:113208.939524
4,checkerboard_separate,Left,0.49,True,0.48344245965611743,20230810:113208.940701,20230810:113224.589358
5,catch_trial_black_3,Right,0.5,False,0.5794965213399144,20230810:113224.590192,20230810:113233.619834
6,bullseye_high_freq,Left,0.51,True,0.5334844239438353,20230810:113233.620995,20230810:113251.617651
7,bullseye_high_freq,Right,0.51,True,0.5112383624658242,20230810:113251.618834,20230810:113255.834233
8,sbc_separate,Left,0.49,False,0.5033426649257429,20230810:113255.835384,20230810:113307.780376
9,whites,Left,0.51,False,0.6061963514985669,20230810:113307.781522,20230810:113312.875327
10,catch_trial_white_3,Left,0.5,False,0.5976512507274762,20230810:113312.924639,20230810:113321.377997
11,bullseye_low_separate,Right,0.5,False,0.43633518016023654,20230810:113321.379162,20230810:113329.202968
12,whites_separate,Right,0.49,False,0.3671774089761576,20230810:113329.204135,20230810:113339.980338
13,strip,Right,0.5,False,0.5817318603715993,20230810:113339.981470,20230810:113342.178414
14,checkerboard,Right,0.51,True,0.5320297018653142,20230810:113342.179539,20230810:113354.955334
15,catch_trial_black_3,Left,0.5,False,0.5715724142531927,20230810:113354.956495,20230810:113413.458291
16,checkerboard,Left,0.51,True,0.4709402055664824,20230810:113413.459425,20230810:113422.060033
17,whites,Right,0.51,False,0.461207453330843,20230810:113422.060870,20230810:113431.968476
18,sbc,Right,0.5,True,0.6099999999999997,20230810:113431.969619,20230810:113447.550082
19,bullseye_low_separate,Left,0.5,False,0.5272464149335119,20230810:113447.551365,20230810:113458.062814
20,whites_separate,Left,0.49,False,0.5574461843787556,20230810:113458.064161,20230810:113509.380357
21,sbc,Left,0.5,True,0.49510786675851876,20230810:113509.381489,20230810:113516.763473
