trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_5,False,nan,4,20230904:151417.115037,20230904:151429.687037
1,sbc_separate,True,0.49,3,20230904:151429.688349,20230904:151432.242742
2,catch_trial_black_1,False,nan,1,20230904:151432.243835,20230904:151434.314704
3,bullseye_low_separate,False,0.5,3,20230904:151434.315792,20230904:151454.512832
4,catch_trial_black_5,False,nan,5,20230904:151454.513933,20230904:151457.342225
5,whites_separate,True,0.49,4,20230904:151457.343391,20230904:151500.911388
6,catch_trial_white_3,False,nan,3,20230904:151500.912815,20230904:151502.495375
7,sbc_separate,False,0.49,3,20230904:151502.496483,20230904:151504.876630
8,catch_trial_white_1,False,nan,1,20230904:151504.877743,20230904:151507.484757
9,bullseye_low_separate,True,0.5,2,20230904:151507.486035,20230904:151509.646425
10,catch_trial_black_4,False,nan,4,20230904:151509.647535,20230904:151513.641085
11,whites,True,0.51,4,20230904:151513.642188,20230904:151521.977950
12,catch_trial_white_2,False,nan,1,20230904:151521.979065,20230904:151528.209402
13,checkerboard,True,0.51,3,20230904:151528.210535,20230904:151531.443101
14,catch_trial_black_3,False,nan,4,20230904:151531.444196,20230904:151548.830568
15,whites_separate,False,0.49,2,20230904:151548.831679,20230904:151554.174065
16,catch_trial_white_4,False,nan,3,20230904:151554.229900,20230904:151557.261447
17,whites,False,0.51,2,20230904:151557.262485,20230904:151559.639468
18,catch_trial_black_2,False,nan,2,20230904:151559.671091,20230904:151602.559151
19,bullseye_high_freq,False,0.51,3,20230904:151602.560242,20230904:151604.130233
20,sbc,False,0.5,3,20230904:151604.131335,20230904:151605.725487
21,bullseye_high_freq,True,0.51,3,20230904:151605.726591,20230904:151606.936222
22,sbc,True,0.5,3,20230904:151606.937412,20230904:151613.920876
23,checkerboard_separate,True,0.49,3,20230904:151613.921697,20230904:151616.895212
24,strip,False,0.5,3,20230904:151616.896328,20230904:151618.747675
25,checkerboard_separate,False,0.49,3,20230904:151618.748820,20230904:151622.423440
26,checkerboard,False,0.51,4,20230904:151622.424760,20230904:151627.004994
27,strip,True,0.5,3,20230904:151627.006097,20230904:151629.668344
