trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_white_3,Right,0.5,False,0.3926909263963619,20230904:152126.890588,20230904:152131.864508
1,whites_separate,Left,0.5,True,0.3253051862094905,20230904:152131.865844,20230904:152136.480092
2,checkerboard,Left,0.49,True,0.3135563371105978,20230904:152136.481230,20230904:152138.159803
3,sbc_separate,Right,0.5,False,0.49029073842468046,20230904:152138.160976,20230904:152142.254440
4,whites,Right,0.49,True,0.2855839362373118,20230904:152142.255543,20230904:152150.508870
5,catch_trial_black_3,Right,0.5,False,0.5972014847974572,20230904:152150.509978,20230904:152151.611258
6,bullseye_low_separate,Left,0.51,True,0.5352823702775661,20230904:152151.612305,20230904:152157.941603
7,sbc_separate,Left,0.5,True,0.41330091997086793,20230904:152157.942727,20230904:152201.482413
8,sbc,Left,0.51,False,0.5533152086766354,20230904:152201.483525,20230904:152207.179947
9,checkerboard_separate,Left,0.5,True,0.5166850720162427,20230904:152207.181096,20230904:152217.464477
10,catch_trial_white_3,Left,0.5,False,0.5084194442788532,20230904:152217.465342,20230904:152223.019581
11,sbc,Right,0.51,False,0.591328687992424,20230904:152223.069378,20230904:152224.147463
12,strip,Left,0.51,False,0.5088010805145181,20230904:152224.148585,20230904:152227.934058
13,bullseye_low_separate,Right,0.51,True,0.4461908187097351,20230904:152227.935182,20230904:152234.972341
14,checkerboard_separate,Right,0.5,True,0.44262624092215186,20230904:152234.973495,20230904:152238.575123
15,catch_trial_black_3,Left,0.5,False,0.4939717976887353,20230904:152238.576239,20230904:152242.075271
16,bullseye_high_freq,Right,0.49,True,0.39440681200249744,20230904:152242.076409,20230904:152246.315526
17,checkerboard,Right,0.49,True,0.5087388355226966,20230904:152246.316657,20230904:152250.785342
18,bullseye_high_freq,Left,0.49,False,0.446551521741533,20230904:152250.786174,20230904:152304.768331
19,whites,Left,0.49,True,0.4912141744980171,20230904:152304.769475,20230904:152309.362699
20,whites_separate,Right,0.5,True,0.467189930836107,20230904:152309.363805,20230904:152312.845125
21,strip,Right,0.51,False,0.5002371417047469,20230904:152312.846289,20230904:152316.774139
