trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_2,False,nan,4,20230904:153452.124442,20230904:153458.313907
1,sbc,True,0.51,5,20230904:153458.315657,20230904:153500.208793
2,catch_trial_white_3,False,nan,1,20230904:153500.209933,20230904:153502.595933
3,whites_separate,False,0.5,5,20230904:153502.597062,20230904:153505.261972
4,catch_trial_black_5,False,nan,1,20230904:153505.263086,20230904:153507.478777
5,bullseye_low_separate,False,0.51,1,20230904:153507.479883,20230904:153511.747854
6,catch_trial_black_4,False,nan,1,20230904:153511.749011,20230904:153514.313338
7,sbc,False,0.51,5,20230904:153514.314431,20230904:153516.851403
8,catch_trial_black_3,False,nan,2,20230904:153516.913802,20230904:153520.364360
9,strip,False,0.51,5,20230904:153520.365521,20230904:153523.635149
10,catch_trial_black_1,False,nan,5,20230904:153523.636262,20230904:153525.313147
11,checkerboard,True,0.49,5,20230904:153525.314236,20230904:153527.444390
12,catch_trial_white_5,False,nan,1,20230904:153527.445498,20230904:153529.227011
13,checkerboard,False,0.49,1,20230904:153529.263143,20230904:153530.803889
14,catch_trial_black_2,False,nan,5,20230904:153530.805007,20230904:153534.804925
15,sbc_separate,False,0.5,1,20230904:153534.855078,20230904:153536.997767
16,catch_trial_white_1,False,nan,5,20230904:153536.998863,20230904:153538.159208
17,bullseye_high_freq,True,0.49,5,20230904:153538.160329,20230904:153539.287454
18,catch_trial_white_4,False,nan,1,20230904:153539.288606,20230904:153540.519193
19,checkerboard_separate,False,0.5,1,20230904:153540.520295,20230904:153543.597742
20,bullseye_low_separate,True,0.51,5,20230904:153543.598849,20230904:153548.535194
21,whites,True,0.49,1,20230904:153548.536324,20230904:153550.231149
22,bullseye_high_freq,False,0.49,1,20230904:153550.232264,20230904:153551.988090
23,checkerboard_separate,True,0.5,1,20230904:153551.989238,20230904:153555.664669
24,sbc_separate,True,0.5,5,20230904:153555.665824,20230904:153600.434167
25,whites_separate,True,0.5,1,20230904:153600.435281,20230904:153602.535567
26,strip,True,0.51,5,20230904:153602.537022,20230904:153604.064464
27,whites,False,0.49,1,20230904:153604.065600,20230904:153605.545317
