trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_black_3,Right,0.5,False,0.5364207604889505,20230904:153814.169563,20230904:153818.161634
1,sbc,Right,0.5,False,0.7222345890406606,20230904:153818.162956,20230904:153821.239215
2,bullseye_low_separate,Right,0.5,True,0.6436189742245709,20230904:153821.240327,20230904:153825.689828
3,sbc_separate,Right,0.49,True,0.2809378409172671,20230904:153825.690937,20230904:153829.442237
4,bullseye_high_freq,Right,0.51,False,0.431487416200211,20230904:153829.443364,20230904:153831.713739
5,catch_trial_white_3,Left,0.5,False,0.507682548512409,20230904:153831.714932,20230904:153834.336072
6,checkerboard,Right,0.51,False,0.4980163158122142,20230904:153834.337216,20230904:153836.935143
7,whites,Right,0.51,True,0.4709413084336111,20230904:153836.979076,20230904:153841.227704
8,whites_separate,Left,0.49,False,0.41934878089540795,20230904:153841.228850,20230904:153844.047715
9,sbc_separate,Left,0.49,True,0.5476297179036589,20230904:153844.048865,20230904:153848.584130
10,catch_trial_black_3,Left,0.5,False,0.5073759308821142,20230904:153848.585270,20230904:153851.103710
11,checkerboard_separate,Left,0.49,True,0.5795428334695734,20230904:153851.105021,20230904:153853.896872
12,whites_separate,Right,0.49,True,0.5802750023505271,20230904:153853.898017,20230904:153856.366982
13,bullseye_low_separate,Left,0.5,True,0.6131237322670495,20230904:153856.367681,20230904:153901.064742
14,sbc,Left,0.5,True,0.5557612230983677,20230904:153901.066187,20230904:153904.672536
15,catch_trial_white_3,Right,0.5,False,0.4113067384263924,20230904:153904.673985,20230904:153908.152423
16,strip,Right,0.5,True,0.4355192614326076,20230904:153908.153575,20230904:153912.294321
17,checkerboard,Left,0.51,True,0.5961822725425611,20230904:153912.295458,20230904:153915.586656
18,checkerboard_separate,Right,0.49,True,0.4724679252655412,20230904:153915.587777,20230904:153918.007014
19,bullseye_high_freq,Left,0.51,False,0.4505402555137417,20230904:153918.043278,20230904:153923.213533
20,strip,Left,0.5,False,0.5409676508601119,20230904:153923.252099,20230904:153928.313210
21,whites,Left,0.51,True,0.3765308632299823,20230904:153928.351925,20230904:153932.383370
