trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_4,False,nan,5,20230904:171631.167937,20230904:171641.577967
1,whites_separate,True,0.51,5,20230904:171641.579482,20230904:171656.035490
2,catch_trial_black_2,False,nan,1,20230904:171656.036637,20230904:171705.918690
3,sbc,False,0.49,4,20230904:171705.919838,20230904:171715.265542
4,catch_trial_black_5,False,nan,5,20230904:171715.266697,20230904:171724.380712
5,checkerboard,False,0.5,3,20230904:171724.381852,20230904:171746.063875
6,catch_trial_white_5,False,nan,5,20230904:171746.065041,20230904:171754.923712
7,checkerboard,True,0.5,3,20230904:171754.924896,20230904:171806.216281
8,catch_trial_white_2,False,nan,2,20230904:171806.217474,20230904:171816.987955
9,strip,True,0.49,2,20230904:171816.989092,20230904:171830.610457
10,catch_trial_black_3,False,nan,3,20230904:171830.611582,20230904:171843.217771
11,whites,False,0.5,2,20230904:171843.218903,20230904:171858.748755
12,catch_trial_white_1,False,nan,1,20230904:171858.749878,20230904:171903.007024
13,whites,True,0.5,5,20230904:171903.008152,20230904:171908.972384
14,catch_trial_black_4,False,nan,5,20230904:171908.973528,20230904:171920.465779
15,strip,False,0.49,4,20230904:171920.466903,20230904:171928.203721
16,catch_trial_white_3,False,nan,2,20230904:171928.205096,20230904:171938.502083
17,bullseye_high_freq,True,0.5,3,20230904:171938.503547,20230904:171945.586465
18,catch_trial_black_1,False,nan,1,20230904:171945.587577,20230904:171949.722844
19,whites_separate,False,0.51,2,20230904:171949.724196,20230904:172001.432046
20,checkerboard_separate,False,0.51,5,20230904:172001.433237,20230904:172019.529340
21,bullseye_high_freq,False,0.5,4,20230904:172019.530463,20230904:172047.106946
22,checkerboard_separate,True,0.51,2,20230904:172047.108079,20230904:172101.692491
23,bullseye_low_separate,True,0.49,5,20230904:172101.693669,20230904:172117.395136
24,sbc_separate,True,0.51,4,20230904:172117.396238,20230904:172129.255382
25,bullseye_low_separate,False,0.49,3,20230904:172129.256521,20230904:172154.288143
26,sbc,True,0.49,1,20230904:172154.289324,20230904:172203.348050
27,sbc_separate,False,0.51,1,20230904:172203.349189,20230904:172208.742733
