trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_white_3,Right,0.5,False,0.4382636217565533,20230904:173035.277683,20230904:173113.633969
1,strip,Right,0.49,True,0.4903531187855406,20230904:173113.635486,20230904:173157.245577
2,bullseye_high_freq,Left,0.5,False,0.521582293648359,20230904:173157.246883,20230904:173207.908754
3,whites_separate,Left,0.51,True,0.4942864065738353,20230904:173207.909859,20230904:173227.259101
4,checkerboard,Left,0.5,True,0.4998657374764753,20230904:173227.260206,20230904:173254.498813
5,catch_trial_white_3,Left,0.5,False,0.4204493514456352,20230904:173254.499922,20230904:173305.259961
6,sbc,Right,0.49,False,0.49156356008548646,20230904:173305.261109,20230904:173324.523123
7,checkerboard,Right,0.5,False,0.5480649137691193,20230904:173324.524241,20230904:173338.500970
8,whites,Left,0.5,False,0.5382276369927996,20230904:173338.501882,20230904:173351.043540
9,bullseye_high_freq,Right,0.5,True,0.48818083007358765,20230904:173351.044669,20230904:173406.239542
10,catch_trial_black_3,Left,0.5,False,0.6,20230904:173406.240584,20230904:173435.772156
11,strip,Left,0.49,True,0.44999999999999996,20230904:173435.773312,20230904:173452.862033
12,sbc_separate,Right,0.51,True,0.4772124896629209,20230904:173452.863104,20230904:173514.039926
13,bullseye_low_separate,Left,0.49,True,0.4709686172036831,20230904:173514.041079,20230904:173520.852593
14,whites,Right,0.5,True,0.4554517852242958,20230904:173520.853742,20230904:173530.906826
15,catch_trial_black_3,Right,0.5,False,0.5154133807975139,20230904:173530.907954,20230904:173539.310949
16,bullseye_low_separate,Right,0.49,False,0.41970075791750194,20230904:173539.312057,20230904:173558.369254
17,whites_separate,Right,0.51,False,0.4867931663498774,20230904:173558.370380,20230904:173606.347282
18,checkerboard_separate,Left,0.51,False,0.5072263605865883,20230904:173606.348881,20230904:173612.637419
19,checkerboard_separate,Right,0.51,True,0.5282192466462605,20230904:173612.638534,20230904:173623.146500
20,sbc_separate,Left,0.51,True,0.4678171917090768,20230904:173623.148041,20230904:173633.915388
21,sbc,Left,0.49,True,0.42736611358680454,20230904:173633.916518,20230904:173646.508494
