trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_3_white_both,False,nan,3,20230808:151618.584333,20230808:151620.593282
1,checkerboard_separate,False,0.5,1,20230808:151620.594566,20230808:151623.012675
2,catch_trial_1_black_both,False,nan,1,20230808:151623.013808,20230808:151625.009208
3,sbc_separate,False,0.5,1,20230808:151625.010315,20230808:151627.929424
4,catch_trial_2_white_both,False,nan,1,20230808:151627.930555,20230808:151631.255889
5,whites_separate,False,0.5,1,20230808:151631.257000,20230808:151634.164220
6,catch_trial_5_white_both,False,nan,5,20230808:151634.165330,20230808:151636.055435
7,bullseye_low_separate,False,0.51,1,20230808:151636.056601,20230808:151639.244887
8,catch_trial_4_black_both,False,nan,4,20230808:151639.246010,20230808:151644.422252
9,checkerboard_separate,True,0.5,5,20230808:151644.479490,20230808:151648.456453
10,catch_trial_4_white_both,False,nan,4,20230808:151648.457654,20230808:151654.598172
11,whites,False,0.49,1,20230808:151654.599333,20230808:151656.865915
12,catch_trial_2_black_both,False,nan,2,20230808:151656.867010,20230808:151701.339351
13,sbc,False,0.51,5,20230808:151701.340769,20230808:151705.566999
14,catch_trial_3_black_both,False,nan,3,20230808:151705.568130,20230808:151707.605725
15,checkerboard,False,0.49,2,20230808:151707.606785,20230808:151718.728148
16,catch_trial_5_black_both,False,nan,5,20230808:151718.729263,20230808:151721.530586
17,strip,False,0.51,2,20230808:151721.531679,20230808:151727.908315
18,catch_trial_1_white_both,False,nan,1,20230808:151727.909492,20230808:151731.690702
19,bullseye_low_separate,True,0.51,4,20230808:151731.692117,20230808:151734.652502
20,sbc,True,0.51,1,20230808:151734.653641,20230808:151737.346265
21,bullseye_high_freq,True,0.49,5,20230808:151737.347402,20230808:151747.551209
22,whites_separate,True,0.5,5,20230808:151747.552383,20230808:151750.405540
23,bullseye_high_freq,False,0.49,1,20230808:151750.406652,20230808:151753.977597
24,sbc_separate,True,0.5,5,20230808:151753.978740,20230808:151757.200016
25,strip,True,0.51,4,20230808:151757.201124,20230808:151802.893634
26,whites,True,0.49,5,20230808:151802.894770,20230808:151805.466767
27,checkerboard,True,0.49,3,20230808:151805.468047,20230808:151812.974927
