trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_3_white_left,False,nan,nan,0.22893489519232046,20230808:153041.022395,20230808:153055.714184
1,sbc,Right,0.51,True,0.6309080079674496,20230808:153055.715504,20230808:153103.849553
2,sbc_separate,Left,0.5,True,0.6561060137713419,20230808:153103.850657,20230808:153112.224098
3,checkerboard_separate,Right,0.5,True,0.4295618551523828,20230808:153112.225196,20230808:153124.142484
4,whites_separate,Left,0.5,True,0.568056132528588,20230808:153124.143587,20230808:153134.858786
5,catch_trial_3_black_left,False,nan,nan,0.4037984305081299,20230808:153134.859627,20230808:153144.610762
6,bullseye_low_separate,Right,0.51,True,0.37170601714166057,20230808:153144.611905,20230808:153155.147117
7,checkerboard,Left,0.49,True,0.4671807657609039,20230808:153155.148249,20230808:153210.587970
8,checkerboard,Right,0.49,True,0.4360397027002093,20230808:153210.589092,20230808:153219.874598
9,bullseye_high_freq,Left,0.49,True,0.539669890093904,20230808:153219.875699,20230808:153244.409075
10,catch_trial_3_black_right,False,nan,nan,0.40235148487789246,20230808:153244.410204,20230808:153256.714256
11,strip,Left,0.51,False,0.5154180495976467,20230808:153256.715353,20230808:153304.809745
12,bullseye_high_freq,Right,0.49,True,0.4007849644897109,20230808:153304.810880,20230808:153318.745376
13,whites_separate,Right,0.5,True,0.3464875539661995,20230808:153318.746499,20230808:153327.549622
14,bullseye_low_separate,Left,0.51,False,0.5359960226579495,20230808:153327.550733,20230808:153336.363605
15,catch_trial_3_white_right,False,nan,nan,0.2207474665299799,20230808:153336.364905,20230808:153349.538238
16,sbc,Left,0.51,True,0.3902059965761885,20230808:153349.539352,20230808:153406.336231
17,whites,Left,0.49,True,0.5739272209225907,20230808:153406.336927,20230808:153414.254355
18,checkerboard_separate,Left,0.5,False,0.6021024290593134,20230808:153414.255498,20230808:153425.306542
19,sbc_separate,Right,0.5,True,0.38111627273077947,20230808:153425.307729,20230808:153440.107540
20,whites,Right,0.49,False,0.390859228225468,20230808:153440.108691,20230808:153455.186591
21,strip,Right,0.51,True,0.4186075958985106,20230808:153455.187698,20230808:153514.085602
