trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_white_3,Right,0.5,False,0.35,20230817:194045.708690,20230817:194058.213707
1,whites_separate,Right,0.49,True,0.35478445243498646,20230817:194058.215054,20230817:194118.271950
2,whites,Right,0.51,True,0.3665178434318845,20230817:194118.273080,20230817:194144.088786
3,sbc,Right,0.5,False,0.41286414350695866,20230817:194144.089971,20230817:194157.109034
4,bullseye_high_freq,Left,0.51,True,0.4288367042509579,20230817:194157.110179,20230817:194213.338036
5,catch_trial_black_3,Right,0.5,False,0.4919676627540657,20230817:194213.339172,20230817:194233.660935
6,strip,Right,0.5,False,0.48202747012346375,20230817:194233.662118,20230817:194241.692526
7,strip,Left,0.5,True,0.39999999999999997,20230817:194241.693678,20230817:194307.238532
8,sbc,Left,0.5,False,0.41500752063012114,20230817:194307.239906,20230817:194324.094107
9,whites,Left,0.51,False,0.43889473327318496,20230817:194324.095273,20230817:194402.378082
10,catch_trial_white_3,Left,0.5,False,0.4771620454325715,20230817:194402.379249,20230817:194419.004158
11,checkerboard,Right,0.51,True,0.47786507134666883,20230817:194419.005319,20230817:194427.701953
12,bullseye_high_freq,Right,0.51,True,0.4999999999999996,20230817:194427.702902,20230817:194442.125192
13,whites_separate,Left,0.49,True,0.3549075869583899,20230817:194442.126361,20230817:194515.409161
14,checkerboard,Left,0.51,True,0.4117599101626277,20230817:194515.410306,20230817:194550.009935
15,catch_trial_black_3,Left,0.5,False,0.40198557515643224,20230817:194550.011106,20230817:194558.693978
16,checkerboard_separate,Right,0.49,True,0.5400522903363519,20230817:194558.695116,20230817:194612.247241
17,bullseye_low_separate,Right,0.5,False,0.44999999999999996,20230817:194612.248424,20230817:194647.111944
18,bullseye_low_separate,Left,0.5,True,0.4298224487347121,20230817:194647.113187,20230817:194702.269765
19,checkerboard_separate,Left,0.49,False,0.37607258377922365,20230817:194702.271072,20230817:194747.464564
20,sbc_separate,Left,0.49,True,0.40802023043791324,20230817:194747.465728,20230817:194808.159488
21,sbc_separate,Right,0.49,True,0.47382757805949766,20230817:194808.160638,20230817:194816.438814
