trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_1,False,nan,1,20230817:200303.768467,20230817:200309.238951
1,sbc_separate,True,0.5,5,20230817:200309.240258,20230817:200312.394546
2,catch_trial_white_3,False,nan,1,20230817:200312.395968,20230817:200322.856935
3,checkerboard_separate,False,0.5,5,20230817:200322.858067,20230817:200327.687311
4,catch_trial_black_1,False,nan,1,20230817:200327.688421,20230817:200329.034838
5,whites,False,0.49,1,20230817:200329.035977,20230817:200332.013519
6,catch_trial_black_5,False,nan,5,20230817:200332.014644,20230817:200333.353982
7,checkerboard,True,0.49,1,20230817:200333.355075,20230817:200336.194000
8,catch_trial_white_2,False,nan,1,20230817:200336.195103,20230817:200339.946087
9,bullseye_low_separate,False,0.51,1,20230817:200339.947182,20230817:200344.325668
10,catch_trial_white_5,False,nan,5,20230817:200344.326810,20230817:200345.940394
11,bullseye_low_separate,True,0.51,1,20230817:200345.941487,20230817:200347.546058
12,catch_trial_black_3,False,nan,5,20230817:200347.547138,20230817:200348.687659
13,strip,False,0.51,5,20230817:200348.688751,20230817:200351.229803
14,catch_trial_white_4,False,nan,5,20230817:200351.293395,20230817:200354.120465
15,checkerboard_separate,True,0.5,1,20230817:200354.121565,20230817:200355.728731
16,catch_trial_black_2,False,nan,1,20230817:200355.729846,20230817:200356.863685
17,whites_separate,True,0.5,5,20230817:200356.893229,20230817:200359.116023
18,catch_trial_black_4,False,nan,5,20230817:200359.117113,20230817:200401.851213
19,sbc,True,0.51,1,20230817:200401.852361,20230817:200408.763057
20,whites,True,0.49,1,20230817:200408.764456,20230817:200412.406980
21,whites_separate,False,0.5,1,20230817:200412.408272,20230817:200414.348702
22,sbc,False,0.51,5,20230817:200414.349839,20230817:200417.330903
23,bullseye_high_freq,True,0.49,1,20230817:200417.332045,20230817:200418.725678
24,checkerboard,False,0.49,5,20230817:200418.727185,20230817:200420.185116
25,sbc_separate,False,0.5,1,20230817:200420.186480,20230817:200423.581698
26,strip,True,0.51,1,20230817:200423.582817,20230817:200426.254599
27,bullseye_high_freq,False,0.49,5,20230817:200426.255776,20230817:200428.479691
