trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_white_3,Right,0.5,False,0.4467911390384187,20230817:191608.592246,20230817:191618.897042
1,sbc_separate,Right,0.51,True,0.4524478846743811,20230817:191618.898362,20230817:191631.115047
2,whites_separate,Left,0.51,False,0.42918938332086487,20230817:191631.116238,20230817:191636.738358
3,checkerboard,Left,0.5,True,0.39999999999999963,20230817:191636.790071,20230817:191649.491204
4,whites,Right,0.5,False,0.39999999999999997,20230817:191649.492488,20230817:191701.028447
5,catch_trial_white_3,Left,0.5,False,0.5311417454006979,20230817:191701.028819,20230817:191706.685995
6,checkerboard,Right,0.5,False,0.47405374352275215,20230817:191706.687381,20230817:191713.916084
7,checkerboard_separate,Right,0.51,False,0.42319074145112034,20230817:191713.917707,20230817:191718.359424
8,whites,Left,0.5,True,0.4287645910416117,20230817:191718.360615,20230817:191727.806490
9,strip,Left,0.49,True,0.45287244977168656,20230817:191727.807675,20230817:191732.710208
10,catch_trial_black_3,Right,0.5,False,0.48234834936856363,20230817:191732.710655,20230817:191737.058968
11,sbc,Right,0.49,True,0.46429208087781065,20230817:191737.060165,20230817:191741.038352
12,whites_separate,Right,0.51,False,0.5354282210657804,20230817:191741.039928,20230817:191746.155080
13,sbc_separate,Left,0.51,False,0.435712599233991,20230817:191746.186836,20230817:191753.906213
14,strip,Right,0.49,False,0.46247387936774015,20230817:191753.907404,20230817:191802.655558
15,catch_trial_black_3,Left,0.5,False,0.6100568408698606,20230817:191802.656718,20230817:191806.583886
16,bullseye_low_separate,Right,0.49,True,0.3561905265831778,20230817:191806.585275,20230817:191812.288077
17,sbc,Left,0.49,False,0.3963522427571891,20230817:191812.289214,20230817:191819.802125
18,bullseye_high_freq,Right,0.5,True,0.3944287018330516,20230817:191819.803304,20230817:191828.898848
19,bullseye_low_separate,Left,0.49,True,0.4499999999999996,20230817:191828.900015,20230817:191838.285920
20,checkerboard_separate,Left,0.51,False,0.35812631904888176,20230817:191838.287094,20230817:191855.607002
21,bullseye_high_freq,Left,0.5,False,0.4195512464483862,20230817:191855.608219,20230817:191902.766103
