trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_1,False,nan,5,20230817:192415.749319,20230817:192417.510931
1,checkerboard,False,0.51,2,20230817:192417.512285,20230817:192420.233545
2,catch_trial_black_2,False,nan,4,20230817:192420.234603,20230817:192421.376063
3,sbc,True,0.5,3,20230817:192421.377117,20230817:192423.678452
4,catch_trial_white_2,False,nan,4,20230817:192423.679567,20230817:192425.035287
5,whites_separate,True,0.49,2,20230817:192425.036426,20230817:192426.186853
6,catch_trial_white_3,False,nan,2,20230817:192426.188037,20230817:192427.457599
7,checkerboard,True,0.51,4,20230817:192427.458711,20230817:192429.499326
8,catch_trial_black_5,False,nan,2,20230817:192429.500461,20230817:192430.737335
9,strip,True,0.5,4,20230817:192430.738424,20230817:192431.885779
10,catch_trial_black_3,False,nan,3,20230817:192431.937490,20230817:192433.428102
11,bullseye_high_freq,True,0.51,3,20230817:192433.429205,20230817:192435.194161
12,catch_trial_white_4,False,nan,2,20230817:192435.195272,20230817:192437.254140
13,whites,False,0.51,3,20230817:192437.255385,20230817:192438.920016
14,catch_trial_white_5,False,nan,2,20230817:192438.921281,20230817:192440.193703
15,bullseye_low_separate,False,0.5,3,20230817:192440.194857,20230817:192442.208974
16,catch_trial_black_1,False,nan,4,20230817:192442.210086,20230817:192443.430829
17,checkerboard_separate,True,0.49,4,20230817:192443.431957,20230817:192445.962457
18,catch_trial_black_4,False,nan,2,20230817:192445.963626,20230817:192448.317811
19,checkerboard_separate,False,0.49,3,20230817:192448.318901,20230817:192450.137950
20,sbc_separate,True,0.49,3,20230817:192450.139085,20230817:192452.140426
21,bullseye_high_freq,False,0.51,2,20230817:192452.142864,20230817:192453.978513
22,bullseye_low_separate,True,0.5,4,20230817:192453.979684,20230817:192455.802704
23,strip,False,0.5,2,20230817:192455.853227,20230817:192458.848006
24,sbc_separate,False,0.49,4,20230817:192458.849113,20230817:192500.360257
25,whites_separate,False,0.49,4,20230817:192500.361371,20230817:192501.559903
26,whites,True,0.51,4,20230817:192501.561017,20230817:192502.951832
27,sbc,False,0.5,2,20230817:192502.953138,20230817:192505.382741
