trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_3,False,nan,3,20230811:150128.345352,20230811:150132.261775
1,bullseye_high_freq,False,0.51,5,20230811:150132.263097,20230811:150135.169531
2,catch_trial_black_2,False,nan,2,20230811:150135.170633,20230811:150141.250912
3,strip,True,0.5,1,20230811:150141.252028,20230811:150143.617716
4,catch_trial_white_5,False,nan,5,20230811:150143.618831,20230811:150146.267778
5,bullseye_low_separate,True,0.5,4,20230811:150146.310477,20230811:150148.890976
6,catch_trial_white_4,False,nan,5,20230811:150148.892145,20230811:150150.598266
7,strip,False,0.5,5,20230811:150150.599116,20230811:150152.487759
8,catch_trial_black_4,False,nan,5,20230811:150152.488885,20230811:150201.877885
9,sbc,True,0.5,2,20230811:150201.879001,20230811:150205.758374
10,catch_trial_white_2,False,nan,1,20230811:150205.759475,20230811:150208.302811
11,whites,True,0.51,3,20230811:150208.304154,20230811:150219.642469
12,catch_trial_white_1,False,nan,1,20230811:150219.643582,20230811:150221.456441
13,checkerboard_separate,False,0.49,4,20230811:150221.457545,20230811:150224.123640
14,catch_trial_black_1,False,nan,1,20230811:150224.124917,20230811:150230.624363
15,sbc_separate,False,0.49,3,20230811:150230.625464,20230811:150235.162415
16,catch_trial_black_5,False,nan,5,20230811:150235.163529,20230811:150236.766878
17,whites_separate,True,0.49,5,20230811:150236.768187,20230811:150246.517758
18,catch_trial_white_3,False,nan,3,20230811:150246.518880,20230811:150248.244173
19,checkerboard,False,0.51,4,20230811:150248.245328,20230811:150250.879467
20,bullseye_low_separate,False,0.5,5,20230811:150250.880650,20230811:150253.245160
21,sbc,False,0.5,5,20230811:150253.246287,20230811:150257.554780
22,checkerboard_separate,True,0.49,1,20230811:150257.555902,20230811:150259.413376
23,checkerboard,True,0.51,1,20230811:150259.414441,20230811:150301.495821
24,bullseye_high_freq,True,0.51,1,20230811:150301.496959,20230811:150310.820762
25,sbc_separate,True,0.49,5,20230811:150310.822067,20230811:150314.402511
26,whites_separate,False,0.49,4,20230811:150314.403631,20230811:150329.834952
27,whites,False,0.51,5,20230811:150329.836127,20230811:150331.970350
