trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_black_3,Right,0.5,False,0.6542641369687148,20230811:150538.372186,20230811:150557.182094
1,checkerboard,Right,0.5,False,0.44095937826248366,20230811:150557.183433,20230811:150606.026362
2,checkerboard_separate,Right,0.51,False,0.4273631217711429,20230811:150606.027496,20230811:150637.902967
3,bullseye_low_separate,Right,0.49,True,0.38857669063336664,20230811:150637.904163,20230811:150658.155757
4,sbc,Left,0.49,False,0.3414300989900725,20230811:150658.156900,20230811:150732.193130
5,catch_trial_white_3,Left,0.5,False,0.40958005848705353,20230811:150732.194270,20230811:150744.120820
6,bullseye_high_freq,Left,0.5,True,0.5627540310483344,20230811:150744.121959,20230811:150749.014642
7,sbc,Right,0.49,True,0.5962520575633121,20230811:150749.015792,20230811:150757.982378
8,bullseye_high_freq,Right,0.5,True,0.4017236494479317,20230811:150757.983532,20230811:150847.229794
9,whites,Right,0.5,True,0.42426207567311236,20230811:150847.230947,20230811:150927.624129
10,catch_trial_white_3,Right,0.5,False,0.37,20230811:150927.625280,20230811:151008.739989
11,strip,Left,0.49,True,0.5081462536584115,20230811:151008.741129,20230811:151020.450480
12,sbc_separate,Right,0.51,True,0.3887052255776038,20230811:151020.451616,20230811:151045.562133
13,checkerboard_separate,Left,0.51,True,0.5555475947414293,20230811:151045.563259,20230811:151110.622594
14,whites,Left,0.5,False,0.49592637053317834,20230811:151110.623745,20230811:151127.251303
15,catch_trial_black_3,Left,0.5,False,0.5755542424705583,20230811:151127.252159,20230811:151148.061289
16,whites_separate,Left,0.51,False,0.5218670201704445,20230811:151148.062403,20230811:151159.544659
17,sbc_separate,Left,0.51,True,0.5686226795277414,20230811:151159.545775,20230811:151210.476772
18,strip,Right,0.49,False,0.44999999999999996,20230811:151210.477883,20230811:151221.805986
19,checkerboard,Left,0.5,True,0.5087457189507733,20230811:151221.807120,20230811:151300.296073
20,whites_separate,Right,0.51,True,0.45477503476434766,20230811:151300.296913,20230811:151342.799236
21,bullseye_low_separate,Left,0.49,True,0.49914574227376945,20230811:151342.800374,20230811:151355.678977
