trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_2,False,nan,1,20230904:191328.680772,20230904:191330.748777
1,sbc_separate,False,0.5,2,20230904:191330.749997,20230904:191332.759180
2,catch_trial_black_2,False,nan,1,20230904:191332.816734,20230904:191335.418187
3,bullseye_high_freq,False,0.49,2,20230904:191335.419318,20230904:191338.388488
4,catch_trial_black_3,False,nan,4,20230904:191338.389817,20230904:191340.080799
5,checkerboard,False,0.49,4,20230904:191340.081952,20230904:191341.674641
6,catch_trial_black_4,False,nan,4,20230904:191341.675747,20230904:191343.337549
7,bullseye_low_separate,False,0.51,2,20230904:191343.338648,20230904:191346.099303
8,catch_trial_white_3,False,nan,1,20230904:191346.100446,20230904:191348.618506
9,bullseye_low_separate,True,0.51,2,20230904:191348.619601,20230904:191424.646684
10,catch_trial_black_5,False,nan,5,20230904:191424.647817,20230904:191426.641681
11,strip,True,0.51,2,20230904:191426.642808,20230904:191428.411993
12,catch_trial_white_5,False,nan,5,20230904:191428.413161,20230904:191429.840486
13,whites_separate,False,0.5,2,20230904:191429.897291,20230904:191433.653047
14,catch_trial_black_1,False,nan,1,20230904:191433.654184,20230904:191435.436162
15,bullseye_high_freq,True,0.49,2,20230904:191435.437313,20230904:191436.740818
16,catch_trial_white_1,False,nan,1,20230904:191436.741938,20230904:191438.209684
17,strip,False,0.51,2,20230904:191438.210805,20230904:191441.151495
18,catch_trial_white_4,False,nan,4,20230904:191441.179941,20230904:191442.821999
19,whites,False,0.49,4,20230904:191442.823112,20230904:191445.218594
20,checkerboard_separate,False,0.5,4,20230904:191445.219727,20230904:191446.629983
21,sbc,True,0.51,2,20230904:191446.679729,20230904:191448.246950
22,whites,True,0.49,1,20230904:191448.248077,20230904:191449.845726
23,checkerboard,True,0.49,1,20230904:191449.846831,20230904:191453.039505
24,whites_separate,True,0.5,2,20230904:191453.040625,20230904:191459.502420
25,checkerboard_separate,True,0.5,2,20230904:191459.503569,20230904:191501.028405
26,sbc_separate,True,0.5,4,20230904:191501.029466,20230904:191504.195573
27,sbc,False,0.51,4,20230904:191504.196626,20230904:191508.071118
