trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_black_3,Left,0.5,False,0.5719882966709657,20230904:185431.836480,20230904:185441.597369
1,checkerboard_separate,Right,0.49,False,0.39708558726947357,20230904:185441.598725,20230904:185501.034181
2,strip,Left,0.5,False,0.35610971979431333,20230904:185501.035499,20230904:185507.295413
3,bullseye_low_separate,Right,0.5,True,0.47213381704540286,20230904:185507.296894,20230904:185514.331345
4,whites,Left,0.51,False,0.4482211004787138,20230904:185514.332631,20230904:185522.237535
5,catch_trial_white_3,Left,0.5,False,0.38384499282384027,20230904:185522.238671,20230904:185532.758942
6,sbc_separate,Left,0.49,False,0.45306592034486476,20230904:185532.760100,20230904:185539.637652
7,bullseye_high_freq,Left,0.51,False,0.4481857257972316,20230904:185539.638949,20230904:185621.462555
8,checkerboard_separate,Left,0.49,False,0.4162107263347326,20230904:185621.463711,20230904:185629.308555
9,sbc_separate,Right,0.49,True,0.41475208436301503,20230904:185629.309703,20230904:185659.009696
10,catch_trial_black_3,Right,0.5,False,0.4911235885283755,20230904:185659.010834,20230904:185703.720398
11,whites_separate,Left,0.49,True,0.4546662130918537,20230904:185703.721540,20230904:185717.688587
12,sbc,Right,0.5,True,0.5768244473395108,20230904:185717.689765,20230904:185730.403992
13,strip,Right,0.5,False,0.44259838812055274,20230904:185730.405080,20230904:185737.820988
14,checkerboard,Right,0.51,False,0.4859519085642664,20230904:185737.822102,20230904:185740.736229
15,catch_trial_white_3,Right,0.5,False,0.35,20230904:185740.737364,20230904:185817.799363
16,sbc,Left,0.5,True,0.37872428954600806,20230904:185817.800510,20230904:185829.566636
17,whites_separate,Right,0.49,True,0.4716498576926124,20230904:185829.567778,20230904:185853.072486
18,whites,Right,0.51,False,0.5191732233219783,20230904:185853.073648,20230904:185858.215266
19,bullseye_low_separate,Left,0.5,True,0.49275385172030645,20230904:185858.267749,20230904:185906.390799
20,checkerboard,Left,0.51,True,0.4642992432899293,20230904:185906.391930,20230904:185914.161537
21,bullseye_high_freq,Right,0.51,False,0.43924089368883473,20230904:185914.162656,20230904:185918.270505
