trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_4,False,nan,5,20230904:190737.104576,20230904:190740.762531
1,sbc,False,0.5,4,20230904:190740.763862,20230904:190744.384344
2,catch_trial_black_5,False,nan,5,20230904:190744.385472,20230904:190746.459142
3,sbc,True,0.5,1,20230904:190746.460237,20230904:190752.899103
4,catch_trial_black_4,False,nan,4,20230904:190752.900028,20230904:190755.678054
5,checkerboard,True,0.51,1,20230904:190755.679189,20230904:190758.198521
6,catch_trial_black_1,False,nan,2,20230904:190758.199827,20230904:190800.078174
7,bullseye_low_separate,False,0.5,2,20230904:190800.079291,20230904:190802.998472
8,catch_trial_black_2,False,nan,3,20230904:190802.999285,20230904:190805.396444
9,bullseye_high_freq,False,0.51,2,20230904:190805.397559,20230904:190807.652099
10,catch_trial_black_3,False,nan,4,20230904:190807.653251,20230904:190809.472772
11,sbc_separate,True,0.49,4,20230904:190809.473876,20230904:190812.557789
12,catch_trial_white_1,False,nan,1,20230904:190812.558903,20230904:190814.318104
13,whites_separate,False,0.49,2,20230904:190814.319220,20230904:190816.229086
14,catch_trial_white_2,False,nan,1,20230904:190816.230248,20230904:190817.941977
15,strip,True,0.5,1,20230904:190817.982118,20230904:190821.259488
16,catch_trial_white_3,False,nan,2,20230904:190821.260584,20230904:190824.152109
17,bullseye_low_separate,True,0.5,2,20230904:190824.153230,20230904:190826.361949
18,catch_trial_white_5,False,nan,5,20230904:190826.363050,20230904:190828.851963
19,checkerboard_separate,True,0.49,2,20230904:190828.853105,20230904:190846.345706
20,checkerboard,False,0.51,4,20230904:190846.346828,20230904:190849.118789
21,sbc_separate,False,0.49,2,20230904:190849.120110,20230904:190851.946110
22,whites_separate,True,0.49,4,20230904:190852.047056,20230904:190854.663157
23,strip,False,0.5,4,20230904:190854.664287,20230904:190903.379199
24,checkerboard_separate,False,0.49,2,20230904:190903.380307,20230904:190905.478878
25,bullseye_high_freq,True,0.51,2,20230904:190918.812872,20230904:190925.368626
26,whites,False,0.51,2,20230904:190925.369052,20230904:190929.373820
27,whites,True,0.51,4,20230904:190929.374951,20230904:190933.289093
