trial,stim,target_side,presented_intensity,matching_flipped,intensity_match,start_time,stop_time
0,catch_trial_white_3,Left,0.5,False,0.4427467650686563,20230904:191509.011667,20230904:191548.557028
1,sbc_separate,Left,0.51,False,0.5115605760436268,20230904:191548.558385,20230904:191559.066345
2,bullseye_high_freq,Left,0.5,False,0.44999999999999996,20230904:191559.067493,20230904:191609.348309
3,checkerboard_separate,Left,0.51,True,0.40264221457908134,20230904:191609.349464,20230904:191612.676644
4,sbc,Right,0.49,True,0.5321481840353547,20230904:191612.678115,20230904:191635.244785
5,catch_trial_white_3,Right,0.5,False,0.36687171367612825,20230904:191635.246193,20230904:191644.407689
6,whites,Right,0.5,True,0.49202768530427093,20230904:191644.408856,20230904:191651.852653
7,bullseye_low_separate,Right,0.49,False,0.5489272509995241,20230904:191651.853811,20230904:191658.209199
8,sbc_separate,Right,0.51,True,0.39152511002219914,20230904:191658.210363,20230904:191705.443746
9,bullseye_low_separate,Left,0.49,True,0.46573025666386736,20230904:191705.444910,20230904:191710.578797
10,catch_trial_black_3,Right,0.5,False,0.5081217876261324,20230904:191710.639472,20230904:191714.235535
11,checkerboard_separate,Right,0.51,True,0.5392197184114357,20230904:191714.237034,20230904:191724.288580
12,whites_separate,Right,0.51,False,0.6501076735897056,20230904:191724.289749,20230904:191727.520490
13,strip,Right,0.49,True,0.5822999748473392,20230904:191727.521663,20230904:191734.859616
14,checkerboard,Left,0.5,False,0.48169945725478036,20230904:191734.861077,20230904:191746.545942
15,catch_trial_black_3,Left,0.5,False,0.5404173074504086,20230904:191746.547105,20230904:191756.614844
16,whites,Left,0.5,False,0.48865538393613495,20230904:191756.615992,20230904:191801.794182
17,whites_separate,Left,0.51,True,0.5327012964089434,20230904:191801.828611,20230904:191810.975686
18,bullseye_high_freq,Right,0.5,True,0.48596808708566874,20230904:191810.976850,20230904:191820.466215
19,sbc,Left,0.49,False,0.30081931498051884,20230904:191820.467367,20230904:191828.476385
20,checkerboard,Right,0.5,True,0.5014963864821175,20230904:191828.477535,20230904:191838.318381
21,strip,Left,0.49,True,0.5737770207944994,20230904:191838.319564,20230904:191844.362648
